DBSFA1, 04/13/24,INC,REP,E(FA0197) 00 2024-25 FOUNDATION AID,F(FA0013) 00 2024-25 CHARTER SCHOOL TRANSITIONAL,G(FA0029) 00 2024-25 HIGH TAX AID,H(FA0065) 00 2024-25 SUMMER TRANSPORTATION AID,I(FA0069) 00 2024-25 TRANSPORTATION AID W/O SUMMER,J(FA0073) 00 2024-25 BUILDING AID,K(FA0077) 00 2024-25 BUILDING REORG INCENTIVE AID,L(FA0081) 00 2024-25 OPERATING REORG INCENTIVE AID,M(FA0085) 00 2024-25 NON-CMPNT COMPUTER ADMIN AID,N(FA0089) 00 2024-25 NON-CMPNT CAREER EDN AID,O(FA0021) 00 2024-25 NON-CMPNT ACADEMIC IMPROVMT AID,P(FA0093) 00 2024-25 BOCES AID,Q(FA0097) 00 2024-25 PUBLIC EC HIGH COST AID,R(FA0101) 00 2024-25 PRIVATE EXCESS COST AID,S(FA0105) 00 2024-25 SOFTWARE AID,T(FA0109) 00 2024-25 LIBRARY MATERIALS AID,U(FA0113) 00 2024-25 TEXTBOOK AID,V(FA0117) 00 2024-25 HARDWARE & TECHNOLOGY AID,W(FA0121) 00 2024-25 FULL DAY K CONVERSION AID,X(FA0125) 00 2024-25 UNIV PREKINDERGARTEN AID,Y(FA0033) 00 2024-25 SUPPLEMENTAL PUB EXCESS COST,Z(FA0025) 00 2024-25 ACADEMIC ENHANCEMENT AID,AA(FA0037) 00 2024-25 INSTRUCTIONAL COMPU TECH AID,"AB(FA0041) 00 2024-25 SHARED SERVICES AID, NON-CMPNT",AC(FA0189) 00 2024-25 TOTAL AID
010100,ALBANY,1,1,"131,741,127","3,040,813",0,0,"9,813,421","15,414,999",0,0,"464,405","2,641,392","1,255,926",0,"1,497,592","3,838,699","190,965","79,675","668,011","225,206",0,"6,071,278",0,"1,247,799",0,0,"178,191,308"
010201,BERNE KNOX,1,0,"7,072,498",0,0,873,"1,333,362","2,038,060",0,0,0,0,0,"949,461","83,075","242,791","10,980","4,581","43,163","9,419",0,"196,086",0,0,0,0,"11,984,349"
010306,BETHLEHEM,1,0,"19,244,966",0,"950,728",0,"5,065,295","3,424,247",0,0,0,0,0,"1,693,210","343,449","650,051","63,905","26,663","259,038","63,181",0,"1,269,000",0,0,0,0,"33,053,733"
010402,RAVENA COEYMAN,1,0,"13,656,730",0,0,0,"3,339,857","1,480,067",0,0,0,0,0,"1,225,491","199,547","516,798","25,900","10,806","106,598","25,356",0,"913,548",0,0,0,0,"21,500,698"
010500,COHOES,1,0,"27,983,143","161,304",0,0,"1,594,845","1,548,274",0,0,0,0,0,"1,808,231",0,"613,734","29,076","12,131","121,160","34,994",0,"1,109,437",0,0,0,0,"35,016,329"
010601,SOUTH COLONIE,1,0,"32,136,748",0,0,"15,787","3,463,791","1,534,736",0,0,0,0,0,"1,412,746","494,155","711,984","86,390","36,044","302,259","77,735",0,"970,078",0,0,0,0,"41,242,453"
010615,MENANDS,1,0,"1,417,246",0,0,983,"443,265","434,157",0,0,0,0,0,"295,115","85,001","80,478","3,955","1,650","25,805","3,277",0,"108,000",0,0,0,0,"2,898,932"
010623,NORTH COLONIE,1,1,"31,579,308",0,0,"10,457","4,369,432","5,838,610","1,334,328",0,0,0,0,"1,573,448","436,695","415,385","104,051","43,413","377,693","92,115",0,"1,576,800",531,0,0,0,"47,752,266"
010701,GREEN ISLAND,1,0,"2,748,473","9,332",0,0,"123,392","60,687",0,0,0,0,0,"361,845","2,742","117,753","3,685","1,538","15,902","3,524",0,"127,520",0,0,0,0,"3,576,393"
010802,GUILDERLAND,1,0,"25,667,450",0,0,0,"5,531,383","4,746,199",0,0,0,0,0,"2,240,244","822,191","590,204","74,675","31,156","298,298","71,055",0,"1,479,600",0,0,0,0,"41,552,455"
011003,VOORHEESVILLE,1,0,"5,829,510",0,0,0,"1,153,314","630,585",0,0,0,0,0,"1,009,251","259,656","27,702","18,111","7,556","72,929","17,525",0,"361,800",0,0,0,0,"9,387,939"
011200,WATERVLIET,1,0,"24,810,020","52,937",0,"8,913","1,924,569","2,697,654",0,0,0,0,0,"1,204,556","950,812","849,159","21,526","8,981","93,433","28,620",0,"752,433",0,0,0,0,"33,403,613"
020101,ALFRED ALMOND,1,0,"7,210,032",0,0,"35,820","605,833","1,396,326",0,0,0,0,0,"1,724,144","243,797",0,"7,505","3,131","28,310","9,445",0,"263,273",0,0,0,0,"11,527,616"
020601,ANDOVER,1,0,"4,516,075",0,0,0,"350,413","802,029",0,0,0,0,0,"913,411","4,246",0,"3,805","1,588","13,223","4,769",0,"196,484",0,0,0,0,"6,806,043"
020702,GENESEE VALLEY,1,0,"8,627,425",0,0,0,"674,419","3,288,234",1,0,0,0,0,"1,439,161","70,205",0,"7,190","3,000","24,931","8,886",0,"464,204",0,0,0,0,"14,607,656"
020801,BELFAST,1,0,"6,403,287",0,0,"8,892","518,527","1,290,613",0,0,0,0,0,"1,226,750","36,143",0,"4,674","1,950","17,766","6,199",0,"105,638",0,0,0,0,"9,620,439"
021102,CANASERAGA,1,0,"3,493,169",0,0,0,"471,468","780,294",0,0,0,0,0,"599,159",0,0,"3,131","1,306","11,941","3,687",0,"82,278",0,0,0,0,"5,446,433"
021601,FRIENDSHIP,1,0,"5,548,797",0,0,0,"365,069","1,148,811",0,0,0,0,0,"1,328,430","183,784",0,"4,000","1,669","15,436","5,472",0,"109,929",0,0,0,0,"8,711,397"
022001,FILLMORE,1,0,"10,984,208",0,0,"4,060","1,065,624","1,597,995",0,0,0,0,0,"1,493,595","172,987",0,"9,932","4,144","32,970","13,300",0,"587,390",0,0,0,0,"15,966,205"
022101,WHITESVILLE,1,0,"3,598,130",0,0,0,"397,120","474,106",0,0,0,0,0,"635,100","15,686",0,"1,783",744,"6,524","2,093",0,"37,407",0,0,0,0,"5,168,693"
022302,CUBA-RUSHFORD,1,0,"11,229,329",0,0,"13,667","1,010,902","1,661,205",0,0,0,0,0,"2,051,326","131,831","131,577","10,786","4,500","41,532","11,953",0,"332,808",0,0,0,0,"16,631,416"
022401,SCIO,1,0,"5,600,432",0,0,"4,459","503,528","696,265",0,0,0,0,0,"1,296,202","52,682",0,"4,030","1,681","13,922","5,331",0,"101,006",0,0,0,0,"8,279,538"
022601,WELLSVILLE,1,0,"19,901,680",0,0,0,"1,395,217","3,020,528",0,0,0,0,0,"2,616,518","536,797","85,413","17,137","7,150","62,794","22,120",0,"487,062",0,0,0,0,"28,152,416"
022902,BOLIVAR-RICHBG,1,0,"12,275,010",0,0,0,"1,091,870","854,721",0,0,0,0,0,"2,334,036","366,531",0,"10,576","4,413","38,212","14,676",0,"461,659",0,0,0,0,"17,451,704"
030101,CHENANGO FORKS,1,0,"13,986,314",0,0,0,"2,158,729","2,078,126",0,0,0,0,0,"2,460,772","191,826","183,077","19,429","8,106","74,618","25,235",0,"348,240","47,253",0,0,0,"21,581,725"
030200,BINGHAMTON,1,0,"70,483,686",0,0,"9,805","2,788,205","7,341,089",0,0,0,0,0,"10,373,147","1,226,855","1,041,379","75,185","31,369","287,522","100,082",0,"3,045,554",0,0,0,0,"96,803,878"
030501,HARPURSVILLE,1,0,"11,529,467",0,0,0,"1,557,951","2,170,252",0,0,0,0,0,"1,696,226","214,823","161,632","8,748","3,650","34,251","10,769",0,"166,175",0,0,0,0,"17,553,944"
030601,SUSQUEHANNA VA,1,0,"14,517,049",0,0,"5,418","1,722,626","3,301,605",0,0,0,0,0,"2,202,847","152,674","238,836","21,182","8,838","84,113","26,587",0,"660,297",0,0,0,0,"22,942,072"
030701,CHENANGO VALLE,1,0,"16,210,993",0,0,0,"1,571,709","1,967,307",0,0,0,0,0,"3,362,757","620,357","84,145","24,612","10,269","96,579","31,172",0,"389,366",0,0,0,0,"24,369,266"
031101,MAINE ENDWELL,1,0,"27,259,306",0,0,"16,299","3,005,734","6,148,636",0,0,0,0,0,"4,647,476","1,312,294","233,855","38,079","15,888","150,343","51,243",0,"1,253,184",0,0,0,0,"44,132,337"
031301,DEPOSIT,1,0,"5,691,496",0,"290,478","4,218","590,512","1,181,592",0,0,0,0,0,"555,297","70,740","64,007","7,071","2,950","27,552","3,998",0,"84,000",0,0,0,0,"8,573,911"
031401,WHITNEY POINT,1,0,"22,239,901",0,0,"11,287","3,108,577","3,951,598",0,0,0,0,0,"2,813,767","517,122","191,171","20,313","8,475","78,172","27,466",0,"1,707,412",0,0,0,0,"34,675,261"
031501,UNION-ENDICOTT,1,0,"38,180,182",0,0,0,"3,405,263","6,162,840",0,0,0,0,0,"6,770,940","938,845","500,481","55,022","22,956","219,078","70,398",0,"860,447",0,0,0,0,"57,186,452"
031502,JOHNSON   CITY,1,0,"28,481,542",0,0,0,"3,008,209","6,275,118",0,0,0,0,0,"3,022,670","893,146","263,545","36,431","15,200","136,014","46,024",0,"759,226",0,0,0,0,"42,937,125"
031601,VESTAL,1,0,"20,032,511",0,0,0,"3,712,250","2,402,504",0,0,0,0,0,"4,753,741","1,468,914","288,260","53,943","22,506","209,817","59,868",0,"834,300","4,264",0,0,0,"33,842,878"
031701,WINDSOR,1,0,"19,023,139",0,0,0,"2,537,533","3,476,425",0,0,0,0,0,"3,853,086","427,975","154,884","22,680","9,463","85,569","27,295",0,"540,343",0,0,0,0,"30,158,392"
