DBSFB1, 04/13/24,INC,REP,E(FA0198) 00 2023-24 FOUNDATION AID,F(FA0014) 00 2023-24 CHARTER SCHOOL TRANSITIONAL,G(FA0030) 00 2023-24 HIGH TAX AID,H(FA0066) 00 2023-24 SUMMER TRANSPORTATION AID,I(FA0070) 00 2023-24 TRANSPORTATION AID W/O SUMMER,J(FA0074) 00 2023-24 BUILDING AID,K(FA0078) 00 2023-24 BUILDING REORG INCENTIVE AID,L(FA0082) 00 2023-24 OPERATING REORG INCENTIVE AID,M(FA0086) 00 2023-24 NON-CMPNT COMPUTER ADMIN AID,N(FA0090) 00 2023-24 NON-CMPNT CAREER EDN AID,O(FA0022) 00 2023-24 NON-CMPNT ACADEMIC IMPROVMT AID,P(FA0094) 00 2023-24 BOCES AID,Q(FA0098) 00 2023-24 PUBLIC EC HIGH COST AID,R(FA0102) 00 2023-24 PRIVATE EXCESS COST AID,S(FA0106) 00 2023-24 SOFTWARE AID,T(FA0110) 00 2023-24 LIBRARY MATERIALS AID,U(FA0114) 00 2023-24 TEXTBOOK AID,V(FA0118) 00 2023-24 HARDWARE & TECHNOLOGY AID,W(FA0122) 00 2023-24 FULL DAY K CONVERSION AID,X(FA0126) 00 2023-24 UNIV PREKINDERGARTEN AID,Y(FA0034) 00 2023-24 SUPPLEMENTAL PUB EXCESS COST,Z(FA0026) 00 2023-24 ACADEMIC ENHANCEMENT AID,AA(FA0190) 00 2023-24 TOTAL AID,AB(FL0005) 00 2023-24 UNCONFIRMED TRANSPORTATION AID,,Expense-Based Aids,
010100,ALBANY,1,1,"124,605,129","1,841,821",0,0,"8,187,679","16,795,710",0,0,"445,532","2,668,917","1,212,471",0,"985,937","3,399,238","192,628","79,170","657,526","231,213",0,"6,071,278",0,"1,247,799","168,622,048",0,,"44,016,919",
010201,BERNE KNOX,1,0,"7,072,498",0,0,619,"1,339,189","2,024,203",0,0,0,0,0,"939,976","94,460","302,478","10,472","4,368","41,241","9,372",0,"193,070",0,0,"12,031,946",0,,"4,959,448",
010306,BETHLEHEM,1,0,"18,277,645",0,"950,728",0,"4,250,598","3,679,199",0,0,0,0,0,"1,700,221","388,048","632,555","64,280","26,383","258,630","65,836",0,"480,600",0,0,"30,774,723",0,,"12,497,078",
010402,RAVENA COEYMAN,1,0,"13,503,810",0,0,0,"2,950,666","1,564,532",0,0,0,0,0,"1,324,136","153,246","578,946","26,350","10,993","108,578","26,435",0,"740,148",0,0,"20,987,840",0,,"7,484,030",
010500,COHOES,1,0,"25,954,658","278,966",0,0,"1,456,462","2,751,010",0,0,0,0,0,"1,788,415",0,"615,924","28,058","11,706","117,840","35,673",0,"1,109,437",0,0,"34,148,149",0,,"8,193,491",
010601,SOUTH COLONIE,1,0,"29,659,812",0,0,"9,983","3,313,916","1,749,729",0,0,0,0,0,"1,689,586","494,522","698,759","84,308","35,175","296,551","77,769",0,"970,078",0,0,"39,080,188",0,,"9,420,376",
010615,MENANDS,1,0,"1,417,246","33,562",0,876,"471,754","465,320",0,0,0,0,0,"227,652","100,060","78,785","4,255","1,775","22,348","3,829",0,"108,000",0,0,"2,935,462",0,,"1,518,216",
010623,NORTH COLONIE,1,1,"29,592,949",0,0,"6,070","3,984,327","6,204,648","1,381,245",0,0,0,0,"2,421,596","312,247","380,277","50,779","43,312","348,190","45,463",0,"577,803",531,0,"45,349,437",0,,"15,756,488",
010701,GREEN ISLAND,1,0,"2,748,473","11,521",0,0,"290,772","85,737",0,0,0,0,0,"447,261",0,"130,331","3,850",0,"9,059","4,124",0,"127,520",0,0,"3,858,648","33,130",,"1,110,175",
010802,GUILDERLAND,1,0,"24,278,544",0,0,0,"5,145,363","4,851,989",0,0,0,0,0,"2,151,687","800,320","611,535","74,796","31,206","298,299","70,686",0,"626,400",0,0,"38,940,825","239,315",,"14,662,281",
011003,VOORHEESVILLE,1,0,"5,718,071",0,0,0,"1,191,731","618,777",0,0,0,0,0,"1,003,878","286,899","28,897","18,636","7,775","60,470","18,274",0,"145,800",0,0,"9,099,208",0,,"3,381,137",
011200,WATERVLIET,1,0,"22,065,135","48,381",0,"1,889","1,616,091","3,510,768",0,0,0,0,0,"1,076,783","838,879","837,161","10,199","8,681","71,882","27,665",0,"752,433",0,0,"30,865,947",0,,"8,800,812",
020101,ALFRED ALMOND,1,0,"7,210,032",0,0,"17,984","494,968","1,452,320",0,0,0,0,0,"1,548,481","152,707",0,"8,120","3,387","30,582","10,572",0,"172,325",0,0,"11,101,478",0,,"3,891,446",
020601,ANDOVER,1,0,"4,516,075",0,0,0,"334,553","978,303",0,0,0,0,0,"874,355","41,332",0,"3,745",4,"11,841","2,445",0,"196,484",0,0,"6,959,137",0,,"2,443,062",
020702,GENESEE VALLEY,1,0,"8,627,425",0,0,0,"636,831","3,280,181",0,0,0,0,0,"1,507,029","78,320",0,"7,296","3,043","25,747","9,099",0,"464,204",0,0,"14,639,175",0,,"6,011,750",
020801,BELFAST,1,0,"6,211,500",0,0,"5,657","457,790","1,682,602",0,0,0,0,0,"1,138,487","89,216",0,"4,734",701,"17,941","6,294",0,"105,638",0,0,"9,720,560",0,,"3,509,060",
021102,CANASERAGA,1,0,"3,493,169",0,0,0,"470,959","799,237",0,0,0,0,0,"609,956",0,0,"2,952","1,231","11,534","3,571",0,"82,278",0,0,"5,474,887",0,,"1,981,718",
021601,FRIENDSHIP,1,0,"5,548,797",0,0,0,"370,674","1,124,151",0,0,0,0,0,"1,178,584","199,303",0,"4,689",0,"18,116","3,766",0,"109,929",0,0,"8,558,009",0,,"3,009,212",
022001,FILLMORE,1,0,"10,907,558",0,0,"2,448","1,003,602","1,614,111",0,0,0,0,0,"1,683,392","118,090",0,"9,932","4,143","34,193","13,574",0,"303,581",0,0,"15,694,624",0,,"4,787,066",
022101,WHITESVILLE,1,0,"3,598,130",0,0,0,"352,355","864,385",0,0,0,0,0,"679,026","18,015",0,108,912,"7,282","2,749",0,"37,407",0,0,"5,560,369",0,,"1,962,239",
022302,CUBA-RUSHFORD,1,0,"11,229,329",0,0,"9,317","1,027,575","1,576,104",0,0,0,0,0,"2,075,227","182,868","152,301","6,737","4,581","38,286","12,435",0,"138,671",0,0,"16,453,431","72,414",,"5,224,102",
022401,SCIO,1,0,"5,600,432",0,0,259,"473,516","676,962",0,0,0,0,0,"1,363,657","37,928",0,"3,820","1,347","13,806","4,999",0,"101,006",0,0,"8,277,732",0,,"2,677,300",
022601,WELLSVILLE,1,0,"16,783,402",0,0,0,"1,203,876","3,105,099",0,0,0,0,0,"2,653,477","279,419","69,220","16,658","6,950","63,668","21,663",0,"487,062",0,0,"24,690,494",0,,"7,907,092",
