DBSFC1, 04/13/24,INC,REP,E(WM0101) 00 2021 ACTUAL VALUATION/2022-23 TWPU,F(WM0091) 00 2021 INCOME / 2022-23 TWPU,G(WM0180) 05 PUPIL WEALTH RATIO (PWR),H(WM0181) 05 ALTERNATE PUPIL WEALTH RATIO (APWR),I(WM0182) 05 COMBINED WEALTH RATIO (CWR) FOR 24-25 AID,J(WM0184) 05 SSR:1.37-1.23CWR;1-.64CWR;.8-.39CWR;.51-.22CWR,K(WM0004) 00 2022-23 APPROVED OPERATING EXPENDITURE,L(WM0005) 00 2022-23 TAPU FOR EXPENDITURE,M(WM0006) 00 2022-23 AOE/TAPU FOR EXP,N(NO0147) 00 2023-24 HIGH COST PUPILS,O(NO0148) 00 2023-24 HIGH COST EXPENDITURE/PUPIL,P(NO0150) 00 HIGH COST DEDUCT/PUPIL,Q(NO0151) 00 AIDABLE HIGH COST/PUPIL,R(NO0153) 05 HIGH COST AID RATIO FOR 2024-25 AID,S(NO0154) 02 HIGH COST AID/PUPIL,T(NO0159) 00 23-24 PRIVATE EC PUPILS W/ ROME&BAT,U(NO0160) 00 23-24 PRIVATE EC AVG EXP/PUPIL W/ R&B,V(NO0146) 00 23-24 LEVY FOR BASIC CONTRIBUTION,W(PC0397) 00 23-24 PUPILS FOR BASIC CONTRIBUTION,X(NO0162) 00 23-24 PRIV EC DEDUCT/PUPIL,Y(NO0163) 00 23-24 PRIV EC AIDABLE COST/PUPIL W/ R&B,Z(NO0165) 05 PRIV EC AID RATIO FOR 24-25 AID,AA(NO0166) 02 24-25 PRIV EC AID/PUPIL W/ ROME & BATAVIA,AB(OP0069) 02 SELECTED FOUNDATION AID/PUPIL,AC(NO0338) 00 2024 INCREASE IN FULL DAY K,AD(MI0137) 00 2024 FULL DAY K INDICATOR,AE(MI0134) 00 FDK INDEX B: 1 = RECEIVED AID IN THE PAST
010100,ALBANY,1,1,"449,252","186,271",0.542,0.599,0.570,0.669,"231,676,173","12,398","18,686",92,"78,985","56,058","22,927",0.710,"16,278.17",100,"53,951","126,151,302","10,514","11,998","41,953",0.915,"38,386.99","10,690.67",0,0,1
010201,BERNE KNOX,1,0,"778,454","262,418",0.940,0.845,0.892,0.453,"17,655,533",869,"20,317",8,"79,970","60,951","19,019",0.546,"10,384.37",7,"55,773","11,068,886",702,"15,768","40,005",0.867,"34,684.33","6,806.05",0,0,0
010306,BETHLEHEM,1,0,"712,020","344,230",0.860,1.108,0.984,0.417,"79,004,967","4,865","16,239",37,"67,319","48,717","18,602",0.499,"9,282.39",17,"62,039","70,824,965","4,115","17,211","44,828",0.853,"38,238.28","4,156.58",0,0,1
010402,RAVENA COEYMAN,1,0,"670,464","226,236",0.810,0.728,0.769,0.508,"36,559,949","2,154","16,973",14,"74,362","50,919","23,443",0.608,"14,253.34",16,"52,219","27,010,669","1,718","15,722","36,497",0.885,"32,299.84","6,393.60",0,0,1
010500,COHOES,1,0,"415,257","168,776",0.501,0.543,0.521,0.730,"34,121,927","2,431","14,036",0,0,"42,108",0,0.735,0.00,15,"53,587","18,447,493","2,003","9,210","44,377",0.922,"40,915.59","11,238.21",0,0,0
010601,SOUTH COLONIE,1,0,"789,492","230,450",0.953,0.742,0.847,0.470,"93,129,392","5,810","16,029",17,"99,173","48,087","51,086",0.569,"29,067.93",20,"56,819","78,072,027","4,867","16,041","40,778",0.873,"35,599.19","5,416.61",0,0,1
010615,MENANDS,1,0,"896,283","399,849",1.082,1.287,1.184,0.339,"6,644,510",333,"19,953",3,"131,228","59,859","71,369",0.397,"28,333.49",3,"52,014","7,631,535",393,"19,419","32,595",0.823,"26,825.68","4,027.65",0,0,1
010623,NORTH COLONIE,1,1,"812,427","316,536",0.981,1.019,0.999,0.411,"105,508,989","7,313","14,427",50,"61,069","43,281","17,788",0.491,"8,733.90",11,"59,998","93,225,506","5,967","15,624","44,374",0.851,"37,762.27","4,333.65",0,0,1
010701,GREEN ISLAND,1,0,"675,903","237,736",0.816,0.765,0.790,0.495,"6,235,417",314,"19,858",1,"64,159","59,574","4,585",0.598,"2,741.83",3,"59,854","3,822,670",249,"15,352","44,502",0.882,"39,250.76","6,931.01",0,0,0
010802,GUILDERLAND,1,0,"749,456","319,499",0.905,1.028,0.966,0.424,"88,481,007","5,822","15,197",55,"75,018","45,591","29,427",0.508,"14,948.91",18,"54,907","80,302,434","4,837","16,602","38,305",0.856,"32,789.08","4,432.30",29,0,1
