DBSFD1,DISTNAME,INC,REP,E(WM0145) 00 SEL. AV: LESSER 21 AV OR AVG AV,F(WM0146) 00 2022-23 TWFPU,G(WM0151) 00 SEL. ACTUAL VAL./2022-23 TWFPU,H(WM0155) 00 2021 ADJ. GROSS INCOME,I(WM0161) 00 2021 ADJ. INCOME/2022-23 TWFPU,J(WM0163) 05 INCOME WEALTH INDEX (IWI),K(PC0042) 00 2023-24 TAFPU,L(PC0126) 00 2022-23 TAFPU,M(OP0088) 00 SELECTED TAFPU,N(MI0125) 03 REGIONAL COST INDEX (RCI),"O(PC0409) 05 PNI = 1 + EN%, MIN 1; MAX 2",P(OP0002) 02 ADJUSTED FOUNDATION AMT/PUPIL,Q(WM0171) 05 ADJUSTED TAX RATE,R(WM0172) 02 EXP MIN LOCAL CONTRIB/PUPIL,S(OP0004) 02 FOUNDATION FORMULA AID/PUPIL,T(WM0199) 05 FND STATE SHARING RATIO,U(OP0011) 02 ALT FOUNDATION AID/PUPIL,V(OP0069) 02 SELECTED FOUNDATION AID/PUPIL,W(FA0001) 00 TOTAL FOUNDATION AID,X(A10008) 00 TOTAL FOUNDATION AID BASE (2023-24 FA),Y(FA0199) 00 INCREASE IN TOTAL FOUNDATION AID,Z(MI0023) 00 2006-07 OPER AID FOR REORG INCENTIVE AID,AA(MI0026) 00 YEAR OF REORGANIZATION,AB(MI0174) 00 2006-07 PUB EXCESS COST AID W/O HC AID(SA0708),AC(SE0003) 00 2024-25 PUBLIC EXCESS COST SET-ASIDE,AD(SE0004) 00 2023-24 PUBLIC EXCESS COST SET-ASIDE
010100,ALBANY,1,1,"5,381,964,806","10,036","536,265","2,279,595,259","227,141",0.568,"12,323","12,037","12,323",1.124,1.727,"15,606.82",0.00968,"5,191.04","10,415.78",0.685,"10,690.67","10,690.67","131,741,127","124,605,129","7,135,998","23,745,495",0,"16,504,035","25,746,294","24,739,548"
010201,BERNE KNOX,1,0,"668,082,539",673,"992,693","229,616,374","341,183",0.853,856,801,856,1.124,1.648,"14,892.91",0.01270,"12,607.20","2,285.71",0.457,"6,806.05","6,806.05","5,825,979","7,072,498",0,"2,740,068",0,"990,335","1,544,922","1,484,512"
010306,BETHLEHEM,1,0,"3,409,249,411","4,090","833,557","1,672,959,838","409,036",1.023,"4,630","4,426","4,630",1.124,1.111,"10,040.06",0.01524,"12,703.40",0.00,0.414,"4,156.58","4,156.58","19,244,966","18,277,645","967,321","9,452,255",0,"2,877,240","4,488,494","4,312,982"
010402,RAVENA COEYMAN,1,0,"1,428,658,924","1,747","817,778","487,314,229","278,943",0.697,"2,112","2,159","2,136",1.124,1.438,"12,995.14",0.01038,"8,488.53","4,506.61",0.492,"6,393.60","6,393.60","13,656,730","13,503,810","152,920","5,337,090",0,"2,725,024","4,251,037","4,084,810"
010500,COHOES,1,0,"929,833,244","1,949","477,082","409,283,567","209,996",0.525,"2,490","2,403","2,490",1.124,1.632,"14,748.31",0.00968,"4,618.15","10,130.16",0.762,"11,238.21","11,238.21","27,983,143","25,954,658","2,028,485","7,560,723",0,"2,244,290","3,501,092","3,364,190"
010601,SOUTH COLONIE,1,0,"4,395,923,004","4,764","922,737","1,304,351,820","273,793",0.684,"5,933","5,796","5,933",1.124,1.289,"11,648.64",0.01019,"9,402.69","2,245.95",0.465,"5,416.61","5,416.61","32,136,748","29,659,812","2,476,936","10,770,256",0,"2,729,520","4,258,051","4,091,550"
010615,MENANDS,1,0,"417,743,430",413,"1,011,485","189,928,499","459,875",1.150,320,338,329,1.124,1.307,"11,811.30",0.01713,"17,326.73",0.00,0.341,"4,027.65","4,027.65","1,325,097","1,417,246",0,"99,600",0,"103,716","161,796","155,470"
010623,NORTH COLONIE,1,1,"5,603,399,499","5,912","947,800","2,229,368,458","377,092",0.943,"7,287","7,108","7,287",1.124,1.187,"10,726.87",0.01405,"13,316.59",0.00,0.404,"4,333.65","4,333.65","31,579,308","29,592,949","1,986,359","7,141,467","2,008","1,922,525","2,999,139","2,881,864"
010701,GREEN ISLAND,1,0,"207,366,553",260,"797,563","74,886,990","288,026",0.720,311,348,330,1.124,1.537,"13,889.80",0.01072,"8,549.87","5,339.93",0.499,"6,931.01","6,931.01","2,287,234","2,748,473",0,"1,061,621",0,"356,380","555,952","534,213"
010802,GUILDERLAND,1,0,"4,307,124,316","4,921","875,253","1,836,165,653","373,128",0.933,"5,775","5,807","5,791",1.124,1.165,"10,528.05",0.01390,"12,166.01",0.00,0.421,"4,432.30","4,432.30","25,667,450","24,278,544","1,388,906","10,069,250",0,"2,831,847","4,417,681","4,244,938"
011003,VOORHEESVILLE,1,0,"1,054,262,933","1,240","850,212","485,037,131","391,158",0.978,"1,382","1,408","1,395",1.124,1.101,"9,949.69",0.01457,"12,387.58",0.00,0.420,"4,178.86","4,178.86","5,829,510","5,718,071","111,439","2,104,323",0,"695,086","1,084,334","1,041,933"
011200,WATERVLIET,1,0,"518,104,649","1,470","352,452","229,851,923","156,361",0.391,"1,860","1,764","1,860",1.124,1.622,"14,657.94",0.00968,"3,411.73","11,246.21",0.910,"13,338.72","13,338.72","24,810,020","22,065,135","2,744,885","5,017,925",0,"2,219,219","3,461,981","3,326,609"
020101,ALFRED ALMOND,1,0,"236,171,847",509,"463,991","93,494,371","183,682",0.459,599,641,620,1.091,1.680,"14,736.35",0.00968,"4,491.43","10,244.92",0.763,"11,243.83","11,243.83","6,971,175","7,210,032",0,"2,400,884",0,"422,318","658,816","633,054"
020601,ANDOVER,1,0,"117,137,457",247,"474,240","45,792,022","185,392",0.463,318,304,318,1.091,1.850,"16,227.53",0.00968,"4,590.64","11,636.89",0.817,"13,257.89","13,257.89","4,216,010","4,516,075",0,"1,088,039",0,"271,491","423,525","406,965"
020702,GENESEE VALLEY,1,0,"218,769,933",435,"502,919","71,449,468","164,251",0.410,586,625,606,1.091,1.828,"16,034.55",0.00968,"4,868.25","11,166.30",0.840,"13,469.02","13,469.02","8,162,227","8,627,425",0,"3,237,356","1,996","787,800","1,228,968","1,180,912"
020801,BELFAST,1,0,"122,604,467",319,"384,340","38,410,843","120,410",0.301,402,411,407,1.091,1.971,"17,288.90",0.00968,"3,720.41","13,568.49",0.910,"15,732.89","15,732.89","6,403,287","6,211,500","191,787","2,102,248",0,"518,539","808,920","777,289"
021102,CANASERAGA,1,0,"114,537,991",200,"572,689","32,710,795","163,553",0.409,246,233,246,1.091,1.836,"16,104.73",0.00968,"5,543.62","10,561.11",0.811,"13,060.93","13,060.93","3,212,989","3,493,169",0,"1,371,089",0,"347,931","542,772","521,548"
021601,FRIENDSHIP,1,0,"91,384,555",282,"324,058","31,239,493","110,778",0.277,338,356,347,1.091,1.985,"17,411.70",0.00968,"3,136.88","14,274.82",0.910,"15,844.64","15,844.64","5,498,091","5,548,797",0,"1,831,841",0,"627,007","978,130","939,883"
022001,FILLMORE,1,0,"212,792,017",594,"358,235","73,901,223","124,412",0.311,686,739,713,1.091,1.930,"16,929.26",0.00968,"3,467.71","13,461.55",0.910,"15,405.62","15,405.62","10,984,208","10,907,558","76,650","3,343,445",0,"684,260","1,067,445","1,025,705"
022101,WHITESVILLE,1,0,"76,171,882",134,"568,446","19,547,154","145,874",0.364,134,171,153,1.091,1.899,"16,657.34",0.00968,"5,502.55","11,154.79",0.803,"13,375.84","13,375.84","2,046,504","3,598,130",0,"1,438,465",0,"396,657","618,784","594,588"
022302,CUBA-RUSHFORD,1,0,"476,660,522",729,"653,855","142,710,421","195,761",0.489,910,928,919,1.091,1.838,"16,122.27",0.00968,"6,329.31","9,792.96",0.695,"11,204.97","11,204.97","10,297,368","11,229,329",0,"3,734,221","1,991","1,502,816","2,344,392","2,252,721"
022401,SCIO,1,0,"105,600,698",286,"369,233","37,918,995","132,583",0.331,340,321,340,1.091,1.925,"16,885.40",0.00968,"3,574.17","13,311.23",0.910,"15,365.71","15,365.71","5,224,342","5,600,432",0,"2,307,610",0,"385,656","601,623","578,098"
022601,WELLSVILLE,1,0,"469,356,226","1,119","419,442","188,080,438","168,079",0.420,"1,455","1,408","1,455",1.091,1.772,"15,543.34",0.00968,"4,060.19","11,483.15",0.880,"13,678.13","13,678.13","19,901,680","16,783,402","3,118,278","4,892,923",0,"1,195,526","1,865,020","1,792,093"
022902,BOLIVAR-RICHBG,1,0,"199,969,059",687,"291,075","78,435,819","114,171",0.285,823,826,825,1.091,1.864,"16,350.33",0.00968,"2,817.60","13,532.73",0.910,"14,878.80","14,878.80","12,275,010","11,798,385","476,625","4,152,328","1,994","737,636","1,150,712","1,105,716"
030101,CHENANGO FORKS,1,0,"528,551,596","1,283","411,965","326,312,832","254,335",0.636,"1,547","1,559","1,553",1.045,1.351,"11,350.83",0.00968,"3,987.82","7,363.01",0.696,"7,900.17","7,900.17","12,268,965","13,986,314",0,"6,191,847",0,"1,951,529","3,044,385","2,925,341"
030200,BINGHAMTON,1,0,"1,585,867,677","4,544","349,002","883,810,786","194,500",0.486,"5,751","5,753","5,752",1.045,1.690,"14,199.04",0.00968,"3,378.33","10,820.71",0.863,"12,253.77","12,253.77","70,483,686","69,205,066","1,278,620","21,012,160",0,"7,677,268","11,976,538","11,508,224"
030501,HARPURSVILLE,1,0,"287,757,412",579,"496,990","105,992,090","183,060",0.457,715,754,735,1.045,1.863,"15,652.55",0.00968,"4,810.86","10,841.69",0.803,"12,568.99","12,568.99","9,238,208","11,529,467",0,"4,878,902",0,"982,940","1,533,386","1,473,427"
030601,SUSQUEHANNA VA,1,0,"631,523,368","1,389","454,660","298,204,861","214,690",0.536,"1,661","1,644","1,661",1.045,1.420,"11,930.55",0.00968,"4,401.10","7,529.45",0.720,"8,589.99","8,589.99","14,267,974","14,517,049",0,"7,600,701",0,"1,713,605","2,673,223","2,568,693"
030701,CHENANGO VALLE,1,0,"736,764,876","1,646","447,609","335,594,209","203,884",0.509,"1,994","2,002","1,998",1.045,1.305,"10,964.34",0.00968,"4,332.85","6,631.49",0.740,"8,113.61","8,113.61","16,210,993","15,861,280","349,713","5,599,710",0,"2,026,272","3,160,984","3,037,381"
031101,MAINE ENDWELL,1,0,"880,240,748","2,516","349,857","511,304,931","203,221",0.508,"3,095","3,085","3,095",1.045,1.291,"10,846.72",0.00968,"3,386.61","7,460.11",0.812,"8,807.53","8,807.53","27,259,306","26,239,436","1,019,870","8,872,971",0,"2,448,852","3,820,209","3,670,829"
031301,DEPOSIT,1,0,"641,436,649",472,"1,358,975","67,489,763","142,986",0.357,606,587,606,1.045,1.947,"16,358.30",0.00968,"13,154.87","3,203.43",0.487,"7,966.49","7,966.49","4,827,693","5,691,496",0,"1,929,231",0,"693,430","1,081,750","1,039,451"
031401,WHITNEY POINT,1,0,"439,761,508","1,312","335,184","191,809,862","146,196",0.365,"1,662","1,669","1,666",1.045,1.746,"14,669.54",0.00968,"3,244.58","11,424.96",0.910,"13,349.28","13,349.28","22,239,901","21,778,742","461,159","8,136,444",0,"1,690,901","2,637,805","2,534,660"
031501,UNION-ENDICOTT,1,0,"1,558,439,235","3,638","428,378","797,441,242","219,197",0.548,"4,292","4,454","4,373",1.045,1.474,"12,384.25",0.00968,"4,146.69","8,237.56",0.705,"8,730.89","8,730.89","38,180,182","34,651,362","3,528,820","12,815,301",0,"4,161,940","6,492,626","6,238,748"
031502,JOHNSON   CITY,1,0,"990,373,065","2,225","445,111","391,123,341","175,785",0.439,"2,680","2,709","2,695",1.045,1.551,"13,031.19",0.00968,"4,308.67","8,722.52",0.811,"10,568.29","10,568.29","28,481,542","27,368,746","1,112,796","7,386,105","1,966","3,352,039","5,229,180","5,024,706"
031601,VESTAL,1,0,"2,192,451,314","3,393","646,168","1,301,306,401","383,526",0.959,"3,931","3,889","3,931",1.045,1.262,"10,603.07",0.01428,"9,227.27","1,375.80",0.480,"5,089.47","5,089.47","20,006,707","20,032,511",0,"9,508,368",0,"2,830,529","4,415,625","4,242,962"
031701,WINDSOR,1,0,"796,865,338","1,519","524,598","240,805,581","158,529",0.396,"1,813","1,812","1,813",1.045,1.624,"13,644.52",0.00968,"5,078.10","8,566.42",0.769,"10,492.63","10,492.63","19,023,139","18,732,160","290,979","7,471,674",0,"1,941,038","3,028,019","2,909,615"
040204,WEST VALLEY,1,0,"178,299,490",227,"785,460","54,742,136","241,154",0.603,243,264,254,1.091,1.708,"14,981.96",0.00968,"7,603.25","7,378.71",0.545,"8,165.16","8,165.16","2,073,951","3,668,834",0,"1,396,078",0,"363,579","567,183","545,004"
040302,ALLEGANY-LIMES,1,0,"501,584,639","1,037","483,688","207,080,643","199,692",0.499,"1,171","1,210","1,191",1.091,1.651,"14,481.97",0.00968,"4,682.09","9,799.88",0.709,"10,267.71","10,267.71","12,228,843","12,993,878",0,"4,727,239","1,995","930,015","1,450,823","1,394,092"
040901,ELLICOTTVILLE,1,0,"898,665,970",434,"2,070,658","115,530,329","266,198",0.665,613,648,631,1.091,1.720,"15,087.22",0.00990,"20,499.51",0.00,0.270,"4,073.54","4,073.54","2,570,404","3,142,785",0,"968,252",0,"155,602","242,739","233,247"
041101,FRANKLINVILLE,1,0,"271,422,344",570,"476,179","85,410,515","149,843",0.374,701,694,701,1.091,1.870,"16,402.96",0.00968,"4,609.41","11,793.55",0.876,"14,368.99","14,368.99","10,072,662","10,363,495",0,"4,139,815",0,"996,769","1,554,959","1,494,156"
041401,HINSDALE,1,0,"223,327,471",366,"610,184","56,028,954","153,084",0.382,432,450,441,1.091,1.833,"16,078.41",0.00968,"5,906.58","10,171.83",0.789,"12,685.86","12,685.86","5,594,465","5,756,930",0,"1,985,372",0,"501,015","781,583","751,021"
042302,CATTARAUGUS-LI,1,0,"439,597,021",806,"545,405","131,513,689","163,168",0.408,983,971,983,1.091,1.840,"16,139.81",0.00968,"5,279.52","10,860.29",0.801,"12,927.98","12,927.98","12,708,205","12,049,288","658,917","4,038,718","2,000","974,306","1,519,917","1,460,484"
042400,OLEAN,1,0,"644,341,921","1,814","355,205","342,214,171","188,651",0.471,"2,269","2,295","2,282",1.091,1.478,"12,964.48",0.00968,"3,438.38","9,526.10",0.868,"11,253.16","11,253.16","25,679,712","25,535,850","143,862","7,675,702",0,"2,322,880","3,623,692","3,481,997"
042801,GOWANDA,1,0,"380,548,084","1,074","354,327","149,083,795","138,811",0.347,"1,330","1,341","1,336",1.091,1.808,"15,859.12",0.00968,"3,429.88","12,429.24",0.910,"14,431.79","14,431.79","19,280,872","18,536,629","744,243","6,150,277",0,"1,345,258","2,098,602","2,016,541"
042901,PORTVILLE,1,0,"229,971,916",679,"338,692","115,705,002","170,405",0.426,"1,046","1,036","1,046",1.091,1.620,"14,210.05",0.00968,"3,278.53","10,931.52",0.847,"12,035.91","12,035.91","12,589,562","12,513,805","75,757","3,929,937",0,"411,495","641,932","616,831"
043001,RANDOLPH,1,0,"580,521,403",804,"722,041","106,144,241","132,020",0.330,896,938,917,1.091,1.846,"16,192.44",0.00968,"6,989.35","9,203.09",0.699,"11,318.51","11,318.51","10,379,074","10,749,793",0,"2,984,156",0,"815,951","1,272,883","1,223,110"
