DBSFE1, 04/13/24,INC,REP,E(WE0003) 00 2020 ACTUAL VALUATION,F(WE0002) 00 2021 ACTUAL VALUATION,G(WE0019) 00 2020 ADJ GROSS INCOME,H(WE0018) 00 2021 ADJ GROSS INCOME,I(WM0086) 00 2022-23 TWPU,J(PC0257) 00 2023-24 PUBLIC ENROLLMENT EST.,"K(PC0261) 00 # K-6 ELIG FRPL APPLICANTS (OCT 20,21,22)","L(PC0262) 00 K-6 ENROLLMENT (FALL 2020, 2021, 2022)","M(PC0260) 04 LUNCH %, K-6, 3-YEAR AVG.",N(PC0263) 00 LUNCH COUNT FOR EN%,O(MI0028) 03 # SQUARE MILES IN DISTRICT,"P(MI0010) 00 LESS THAN K-12 INDEX: K-12=1, OTHERS=0",Q(PC0264) 03 SPARSITY FACTOR,R(PC0267) 00 SPARSITY COUNT FOR EN%,S(K10130) 00 2023-24 EST. UNWTD ELL PUPILS,T(PC0273) 00 ELL COUNT FOR EN%,U(C00035) 00 CENSUS POVERTY: # 5-17 IN POVERTY,V(C00036) 00 CENSUS POVERTY: # 5-17 IN SCHOOL DISTRICT,W(PC0277) 04 CENSUS POVERTY,X(PC0278) 00 CENSUS COUNT FOR EN%,Y(PC0294) 00 EXTRAORDINARY NEEDS COUNT,Z(PC0410) 05 EN % = EN COUNT/23-24 ENROLLMENT,AA(WM0081) 00 SEL. ACTUAL VALUATION/2022-23 TWPU FOR FND,AB(WM0121) 00 SEL. INCOME / 2022-23 TWPU FOR FND SSR,AC(WM0195) 05 PUPIL WEALTH RATIO (PWR) FOR FND SSR,"AD(WM0196) 05 ALTERNATE PUPIL WEALTH RATIO (APWR), FND",AE(WM0197) 05 COMBINED WEALTH RATIO FOR 24-25 FND SSR,AF(WM0199) 05 FSR:1.37-1.23CWR;1-.64CWR;.8-.39CWR;.51-.173CWR,AG(K20158) 04 2022-23 ATTENDANCE RATIO,AH(FL0013) 00 2022-23 PUBLIC ENROLLMENT
010100,ALBANY,1,1,"5,265,978,831","5,497,950,781","2,196,124,429","2,279,595,259","12,238","10,510","8,814","12,439",0.7085,"4,840",21.986,1,0.000,0,"1,500",750,"3,095","10,280",0.3010,"2,056","7,647",0.727,"439,774","182,861",0.535,0.632,0.583,0.685,0.8696,"10,275"
010201,BERNE KNOX,1,0,"655,017,817","681,147,262","191,399,644","229,616,374",875,692,347,"1,018",0.3408,153,125.061,1,0.382,264,0,0,89,"1,274",0.0698,31,449,0.648,"763,522","240,580",0.929,0.832,0.880,0.457,0.9405,663
010306,BETHLEHEM,1,0,"3,358,078,465","3,460,420,357","1,495,904,381","1,672,959,838","4,860","4,115",685,"6,244",0.1097,293,45.496,1,0.000,0,93,47,200,"4,475",0.0446,119,460,0.111,"701,491","326,014",0.853,1.128,0.990,0.414,0.9527,"4,094"
010402,RAVENA COEYMAN,1,0,"1,413,138,172","1,444,179,677","504,907,094","487,314,229","2,154","1,723","1,144","2,774",0.4124,462,89.075,1,0.111,191,26,13,185,"2,360",0.0783,88,755,0.438,"663,258","226,236",0.807,0.782,0.794,0.492,0.9232,"1,751"
010500,COHOES,1,0,"852,667,368","1,006,999,121","406,812,171","409,283,567","2,425","2,007","2,100","2,960",0.7094,925,4.270,1,0.000,0,85,43,470,"2,045",0.2298,300,"1,269",0.632,"383,436","168,267",0.466,0.582,0.524,0.762,0.8870,"1,949"
010601,SOUTH COLONIE,1,0,"4,323,319,560","4,468,526,448","1,242,590,351","1,304,351,820","5,660","4,878","2,498","7,259",0.3441,"1,091",21.628,1,0.000,0,290,145,315,"5,635",0.0559,177,"1,414",0.289,"776,664","224,994",0.945,0.778,0.861,0.465,0.9261,"4,809"
010615,MENANDS,1,0,"409,752,154","425,734,707","162,775,152","189,928,499",475,276,253,710,0.3563,64,2.937,0,0.000,0,40,20,0,370,0.0000,0,85,0.307,"879,459","371,267",1.070,1.284,1.177,0.341,0.9340,303
010623,NORTH COLONIE,1,1,"5,484,873,914","5,721,925,085","2,107,501,219","2,229,368,458","7,043","6,143","1,932","9,108",0.2121,847,30.785,1,0.000,0,404,202,128,"5,102",0.0250,100,"1,150",0.187,"795,598","307,885",0.968,1.065,1.016,0.404,0.9364,"6,059"
010701,GREEN ISLAND,1,0,"201,823,547","212,909,560","64,640,201","74,886,990",315,253,237,375,0.6320,104,0.932,1,0.000,0,0,0,60,315,0.1904,31,136,0.537,"658,306","221,471",0.801,0.766,0.783,0.499,0.8678,271
010802,GUILDERLAND,1,0,"4,385,064,398","4,307,124,316","1,609,545,045","1,836,165,653","5,747","4,891","1,419","7,826",0.1813,576,47.744,1,0.000,0,300,150,135,"5,290",0.0255,81,808,0.165,"749,456","299,783",0.912,1.037,0.974,0.421,0.9381,"4,907"
