DBSFF1, 04/13/24,INC,REP,E(K10164) 00 2023-24 SWD FOR SFTW AND TXTBOOK COUNTS,F(FL0001) 00 2023-24 PUBLIC ENROLLMENT W/CHARTER(ATTN),G(K10170) 00 2023-24 NONPUBLIC ENROLLMT (ATTN),H(NO0850) 00 SOFTWARE AND LIBRARY PUPILS FOR 2024-25 AID,I(FL0014) 00 2023-24 PUBLIC ENR. W/CHARTER (RESIDENT),J(K10169) 00 2023-24 NONPUBLIC ENROLLMENT (RESIDENT),K(NO0856) 00 TEXTBOOK PUPILS FOR 2024-25 AID,L(E10051) 00 2023-24 SOFTWARE EXPENDITURE (ST-3),M(NO0851) 00 2024-25 MAX SOFTW AID @ $14.98/PPL,N(E10050) 00 2023-24 LIBRARY MATERIALS EXPENDITURE (ST-3),O(NO0854) 00 2024-25 MAX LIBR MTRLS AID @ $6.25/PPL,P(E10049) 00 2023-24 TEXTBOOK EXPENDITURE (ST-3),Q(NO0858) 00 2024-25 MAX TXTBK AID @ $58.25/PPL,"R(E10012) 00 EST 23-24 HRDWR EXP: INSTR,LEASE OR PURCH ST-3",S(E10013) 00 EST 23-24 HRDWR EXP: REPAIR & STAFF DEVEL ST-3,T(NO0111) 00 2024-25 MAX HRDW AID @ $24.20 * AID RATIO,U(WM0301) 02 DISTRICT TAX RATE (SMALL CITIES DEF),V(NO0116) 05 INSTR COMPUT TECHN AID RATIO,W(NO0115) 00 23-24 INSTR COMP TECHN EXPENDITURE,X(NO0117) 00 FORMULA INSTR COMP TECHN AID,,Res to Att Ratio
010100,ALBANY,1,1,153,"11,304","1,291","12,748","10,514",801,"11,468","1,096,471","190,965","75,659","79,675","711,765","668,011","555,142",0,"225,206",22.94,0.730,0,0,,93.0%
010201,BERNE KNOX,1,0,9,692,32,733,702,30,741,"3,761","10,980","4,493","4,581","38,332","43,163","16,314",250,"9,419",16.01,0.692,0,0,,101.4%
010306,BETHLEHEM,1,0,21,"4,110",135,"4,266","4,115",311,"4,447","185,000","63,905","26,445","26,663","190,198","259,038","958,000",0,"63,181",20.46,0.612,0,0,,100.1%
010402,RAVENA COEYMAN,1,0,17,"1,712",0,"1,729","1,718",95,"1,830","140,000","25,900","14,986","10,806","144,698","106,598",0,0,"25,356",18.25,0.606,0,0,,100.4%
010500,COHOES,1,0,25,"1,916",0,"1,941","2,003",52,"2,080","25,000","29,076","18,350","12,131","135,650","121,160","195,000",0,"34,994",18.31,0.745,0,0,,104.5%
010601,SOUTH COLONIE,1,0,17,"4,840",910,"5,767","4,867",305,"5,189","83,784","86,390","34,958","36,044","294,829","302,259","75,390",0,"77,735",17.32,0.557,0,0,,100.6%
010615,MENANDS,1,0,3,261,0,264,393,47,443,"6,000","3,955","1,857","1,650","28,601","25,805","3,996",0,"3,277",15.51,0.554,0,0,,150.6%
010623,NORTH COLONIE,1,1,11,"6,103",832,"6,946","5,967",506,"6,484","214,020","104,051","100,450","43,413","415,500","377,693","45,300","24,000","92,115",16.17,0.548,0,0,,97.8%
010701,GREEN ISLAND,1,0,6,240,0,246,249,18,273,0,"3,685",0,"1,538","26,750","15,902","1,000",0,"3,524",17.76,0.610,0,0,,103.8%
010802,GUILDERLAND,1,0,22,"4,870",93,"4,985","4,837",262,"5,121","77,270","74,675","31,230","31,156","332,940","298,298","301,570","19,250","71,055",18.66,0.589,0,0,,99.3%
011003,VOORHEESVILLE,1,0,3,"1,206",0,"1,209","1,182",67,"1,252","35,700","18,111","20,000","7,556","143,670","72,929","120,000",0,"17,525",19.03,0.599,0,0,,98.0%
011200,WATERVLIET,1,0,16,"1,421",0,"1,437","1,519",69,"1,604","5,000","21,526","15,000","8,981","50,000","93,433","37,000",0,"28,620",15.08,0.823,0,0,,106.9%
020101,ALFRED ALMOND,1,0,0,501,0,501,485,1,486,"11,500","7,505","7,900","3,131","32,500","28,310","17,000",0,"9,445",18.57,0.779,0,0,,96.8%
020601,ANDOVER,1,0,0,254,0,254,227,0,227,"14,580","3,805","3,200","1,588","8,809","13,223","20,050",0,"4,769",21.99,0.776,0,0,,89.4%
020702,GENESEE VALLEY,1,0,2,478,0,480,418,8,428,"14,200","7,190","5,000","3,000","27,000","24,931","20,000","7,000","8,886",11.97,0.780,0,0,,87.4%
020801,BELFAST,1,0,0,312,0,312,303,2,305,"6,800","4,674","4,500","1,950","32,640","17,766","18,500","54,479","6,199",14.85,0.821,0,0,,97.1%
021102,CANASERAGA,1,0,1,208,0,209,199,5,205,"3,000","3,131","1,500","1,306","5,000","11,941","4,000",0,"3,687",14.37,0.729,0,0,,95.7%
021601,FRIENDSHIP,1,0,0,267,0,267,256,9,265,"5,350","4,000",0,"1,669","21,000","15,436","8,600","24,722","5,472",19.44,0.847,0,0,,95.9%
022001,FILLMORE,1,0,1,579,83,663,532,33,566,"14,200","9,932","5,400","4,144","35,000","32,970","13,700",0,"13,300",11.99,0.829,0,0,,91.9%
022101,WHITESVILLE,1,0,0,119,0,119,112,0,112,"4,000","1,783","1,600",744,"12,382","6,524","12,200",0,"2,093",0.00,0.754,0,0,,94.1%
022302,CUBA-RUSHFORD,1,0,2,718,0,720,705,6,713,"11,235","10,786","4,688","4,500","54,000","41,532","29,199","50,000","11,953",4.70,0.716,"29,199","20,907",,98.2%
022401,SCIO,1,0,0,269,0,269,237,2,239,"3,850","4,030","1,606","1,681","10,000","13,922","5,209",0,"5,331",2.96,0.819,0,0,,88.1%
022601,WELLSVILLE,1,0,1,"1,143",0,"1,144","1,067",10,"1,078","32,500","17,137","9,380","7,150","75,000","62,794","70,000",0,"22,120",16.75,0.799,0,0,,93.4%
022902,BOLIVAR-RICHBG,1,0,0,658,48,706,642,14,656,"9,791","10,576","4,527","4,413","48,679","38,212","14,775","10,100","14,676",2.64,0.859,0,0,,97.6%
030101,CHENANGO FORKS,1,0,4,"1,293",0,"1,297","1,274",3,"1,281","73,105","19,429","8,811","8,106","24,636","74,618","79,000",0,"25,235",22.14,0.804,0,0,,98.5%
030200,BINGHAMTON,1,0,29,"4,557",433,"5,019","4,633",274,"4,936","163,000","75,185","39,032","31,369","256,949","287,522","110,000","7,500","100,082",28.81,0.824,0,0,,101.7%
030501,HARPURSVILLE,1,0,5,579,0,584,580,3,588,"2,500","8,748","10,000","3,650","20,000","34,251","40,000",0,"10,769",16.12,0.774,0,0,,100.2%
030601,SUSQUEHANNA VA,1,0,7,"1,407",0,"1,414","1,403",34,"1,444","20,900","21,182","23,487","8,838","56,424","84,113","74,750",0,"26,587",28.00,0.777,0,0,,99.7%
030701,CHENANGO VALLE,1,0,3,"1,640",0,"1,643","1,639",16,"1,658","60,000","24,612","15,600","10,269","38,000","96,579","150,000",0,"31,172",28.31,0.784,0,0,,99.9%
031101,MAINE ENDWELL,1,0,6,"2,536",0,"2,542","2,519",56,"2,581","62,500","38,079","18,500","15,888","149,000","150,343","405,500",0,"51,243",28.57,0.833,0,0,,99.3%
031301,DEPOSIT,1,0,0,472,0,472,462,11,473,"8,000","7,071","6,100","2,950","17,000","27,552","12,000",0,"3,998",13.22,0.505,0,0,,97.9%
031401,WHITNEY POINT,1,0,5,"1,351",0,"1,356","1,334",3,"1,342","10,000","20,313","10,000","8,475","71,250","78,172","50,000",0,"27,466",19.40,0.837,0,0,,98.7%
031501,UNION-ENDICOTT,1,0,8,"3,564",101,"3,673","3,599",154,"3,761","12,132","55,022","26,168","22,956","191,720","219,078","273,000",0,"70,398",28.84,0.792,0,0,,101.0%
031502,JOHNSON   CITY,1,0,10,"2,241",181,"2,432","2,242",83,"2,335","90,000","36,431","35,779","15,200","179,500","136,014","240,000","53,000","46,024",27.30,0.782,0,0,,100.0%
031601,VESTAL,1,0,9,"3,434",158,"3,601","3,471",122,"3,602","46,507","53,943","22,530","22,506","197,415","209,817","78,069",0,"59,868",22.37,0.687,0,0,,101.1%
031701,WINDSOR,1,0,2,"1,512",0,"1,514","1,458",9,"1,469","4,800","22,680","10,602","9,463","50,200","85,569","141,000",0,"27,295",0.00,0.745,0,0,,96.4%
040204,WEST VALLEY,1,0,1,192,0,193,182,1,184,"5,900","2,891","5,500","1,206","33,326","10,718","14,700",0,"2,891",13.66,0.750,0,0,,94.8%
040302,ALLEGANY-LIMES,1,0,3,"1,015",0,"1,018",974,3,980,"34,500","15,250","7,400","6,363","61,000","57,085","28,000","13,500","19,092",8.65,0.783,0,0,,96.0%
040901,ELLICOTTVILLE,1,0,0,526,0,526,414,7,421,"30,504","7,879",0,"3,288","27,611","24,523","9,000",0,229,9.30,0.551,0,0,,78.7%
041101,FRANKLINVILLE,1,0,2,596,0,598,556,20,578,"10,000","8,958","5,500","3,738","38,000","33,669","12,500",0,"11,186",10.68,0.773,0,0,,93.3%
041401,HINSDALE,1,0,0,373,0,373,322,5,327,"7,500","5,588","2,665","2,331","26,702","19,048","8,350",0,"6,454",4.18,0.761,0,0,,86.3%
042302,CATTARAUGUS-LI,1,0,6,801,0,807,794,4,804,"23,250","12,089","5,093","5,044","47,474","46,833","7,500",0,"14,393",0.00,0.769,0,0,,99.1%
042400,OLEAN,1,0,4,"1,839",74,"1,917","1,824",31,"1,859","49,125","28,717","23,513","11,981","165,600","108,287","53,820","104,000","38,365",21.48,0.827,0,0,,99.2%
042801,GOWANDA,1,0,8,"1,034",0,"1,042","1,055",17,"1,080","27,500","15,609","13,500","6,513","82,961","62,910","34,000",0,"20,778",1.44,0.824,0,0,,102.0%
042901,PORTVILLE,1,0,2,955,0,957,681,5,688,"25,500","14,336","6,075","5,981","49,000","40,076","23,500",0,"19,523",21.18,0.843,0,0,,71.3%
043001,RANDOLPH,1,0,3,780,0,783,768,1,772,"15,000","11,729","8,000","4,894","50,000","44,969","17,000",0,"12,335",0.00,0.700,0,0,,98.5%
043200,SALAMANCA,1,0,4,"1,328",0,"1,332","1,310",3,"1,317","177,447","19,953","27,000","8,325","147,049","76,715","683,080","25,000","29,333",0.00,0.910,0,0,,98.6%
043501,YORKSHRE-PIONE,1,0,6,"2,120",111,"2,237","2,108",89,"2,203","43,172","33,510","18,212","13,981","173,818","128,325","51,691",0,"40,276",6.24,0.758,0,0,,99.4%
050100,AUBURN,1,0,5,"3,844",234,"4,083","3,874",165,"4,044","63,191","61,163","24,870","25,519","228,515","235,563","754,583",0,"75,588",19.21,0.765,"683,062","522,543",,100.8%
050301,WEEDSPORT,1,0,0,691,0,691,684,11,695,"11,000","10,351","5,000","4,319","41,000","40,484","13,000",0,"12,224",21.66,0.731,0,0,,99.0%
050401,CATO MERIDIAN,1,0,1,827,0,828,818,9,828,"13,545","12,403","5,231","5,175","105,000","48,231","18,275","3,500","15,288",16.02,0.779,0,0,,98.9%
050701,SOUTHERN CAYUG,1,0,0,634,23,657,624,49,673,"30,675","9,842","7,867","4,106","68,525","39,202",0,0,"7,520",6.90,0.712,0,0,,98.4%
051101,PORT BYRON,1,0,0,769,0,769,756,25,781,"16,000","11,520","8,000","4,806","60,200","45,493","100,000","10,000","14,236",18.08,0.765,0,0,,98.3%
051301,MORAVIA,1,0,0,868,0,868,875,21,896,"16,349","13,003","12,500","5,425","54,231","52,192","15,877",0,"13,968",14.73,0.736,0,0,,100.8%
051901,UNION SPRINGS,1,0,0,697,107,804,698,36,734,"19,000","12,044",0,"5,025","46,000","42,756","13,872",0,"11,751",12.98,0.685,0,0,,100.1%
