DBSFG1, 04/13/24,INC,REP,E(WM0106) 00 2022-23 RWADA,F(WM0111) 00 2021 ACTUAL VALUATION/2022-23 RWADA,G(NO0090) 05 TR AR: 1.01-(.46*AV/RWADA WLTH RATIO),H(WM0126) 00 2022-23 RESIDENT PUB+NONPUB ENROLLMENT,I(WM0131) 00 2021 AV/2022-23 RES PUB+NONPUB ENRLMT,J(NO0091) 05 TRANS ENRL AR: 1.01-(.46*EWR),K(WM0184) 05 STATE SHARING RATIO (SSR),L(NO0094) 05 22-23 ENR/SQ MILE,M(NO0095) 05 TRANS SPARSTY ADJ:(21 - 22-23ENR/SQ MI)/317.88,"N(NO0075) 05 24-25 SEL TRANSP AID RATIO,.9 MAX,.065 MIN","O(NO0074) 00 TRANS NON-CAP EXP W/O SUMMR,S.3627FOR 24-25 AID",P(E10074) 00 TRANS SEC 3627 TOTAL EXPENDITURES,Q(E10037) 00 TRANS CAPITAL NEW BUS PURCHASE EXP,R(E10038) 00 TRANS CAPITAL NEW LEASE EXPENDITURE,S(E10036) 00 TRANS CAPITAL NEW EQUIPMENT EXPENDITURE,T(NO0040) 00 SUMMER TRANS NON-CAPITAL EXP FOR 24-25 AID,U(NO0106) 00 2024-25 TRANSP AID ON NON-CAPITAL EXPENDITURES,V(NO0079) 00 2024-25 TRANSP AID ON CAPITAL EXPENDITURES,"W(K20133) 00 2022-23 PUBLIC ENROLLMENT, ATTN, DUPLICATED",X(PK0155) 00 2023-24 MAX TPK AID,Y(PK0151) 00 2023-24 90M FED UPK EXP GRANT,Z(PK0153) 00 2023-24 15M SUFDPK EXP GRANT,AA(PK0162) 00 2023-24 100M UPK EXP GRANT,AB(PK0159) 00 2023-24 25M SUFDPK EXP GRANT,AC(PK0111) 00 2023-24 MAX SUFDPK AID(1415),AD(FL0006) 00 2023-24 MAX UPK AID,AE(CL0014) 00 2023-24 PAYABLE UPK AID,AF(FL0018) 05 3 YR. DIRECT CERTIFICATION AVERAGE
010100,ALBANY,1,1,"9,977","551,062",0.766,"11,288","487,061",0.768,0.669,467.342,0.000,0.844,"11,622,496",0,0,0,"4,780",0,"9,809,387","4,034","10,275",0,0,0,"204,797","560,000",0,"5,511,278","5,511,278",0.70503
010201,BERNE KNOX,1,0,712,"956,667",0.587,708,"962,072",0.531,0.453,5.301,0.049,0.636,"1,709,219",0,"383,377",0,"3,885","4,729","1,087,063","246,299",663,0,0,0,0,0,0,"196,086","193,070",0.29242
010306,BETHLEHEM,1,0,"4,374","791,134",0.660,"4,440","779,373",0.622,0.417,89.985,0.000,0.660,"6,892,476",0,"749,990",0,"32,223",0,"4,549,034","516,261","4,094",0,"480,600",0,"388,800",0,0,"788,400",0,0.11786
010402,RAVENA COEYMAN,1,0,"1,798","803,214",0.654,"1,864","774,774",0.625,0.508,19.657,0.004,0.658,"4,661,093",0,"401,438",0,"13,240",0,"3,066,999","272,858","1,751",0,0,0,0,"524,891",0,"388,657","215,257",0.35766
010500,COHOES,1,0,"1,934","520,682",0.780,"2,023","497,775",0.763,0.730,456.440,0.000,0.900,"1,772,050",0,0,0,0,0,"1,594,845",0,"1,949",0,0,0,0,"180,000",0,"929,437","929,437",0.6239
010601,SOUTH COLONIE,1,0,"4,953","902,185",0.611,"5,091","877,730",0.573,0.470,222.350,0.000,0.611,"5,081,165",0,"543,145",0,"44,742","89,004","3,104,592","359,199","4,809",0,"583,200",0,0,0,0,"386,878","386,878",0.31576
010615,MENANDS,1,0,429,"992,388",0.571,473,"900,073",0.562,0.339,103.166,0.000,0.571,"776,296",0,0,0,0,"5,935","443,265",0,303,0,"108,000",0,0,0,0,0,0,0.33143
010623,NORTH COLONIE,1,1,"6,206","921,998",0.602,"6,402","893,771",0.565,0.411,196.816,0.000,0.602,"6,243,910",0,"962,962",0,"51,320","59,838","3,758,834","610,598","6,059",0,"507,600",0,"297,000",0,0,"1,069,200","70,203",0.20988
010701,GREEN ISLAND,1,0,256,"831,677",0.642,288,"739,269",0.642,0.495,290.772,0.000,0.642,"192,200",0,0,0,0,0,"123,392",0,271,0,0,0,0,0,0,"127,520","127,520",0.59048
010802,GUILDERLAND,1,0,"5,148","836,659",0.640,"5,121","841,070",0.591,0.424,102.777,0.000,0.640,"7,880,180",0,"761,217",0,"1,390",0,"5,043,315","488,068","4,907",0,"626,400",0,"513,000",0,0,"853,200",0,0.1806
011003,VOORHEESVILLE,1,0,"1,299","818,677",0.648,"1,289","825,028",0.600,0.414,33.902,0.000,0.648,"1,486,321",0,"286,898",0,"6,587",0,"963,136","190,178","1,244",0,"145,800",0,"108,000",0,0,"216,000",0,0.1215
011200,WATERVLIET,1,0,"1,456","361,209",0.850,"1,549","339,522",0.842,0.893,696.998,0.000,0.900,"2,138,410",0,0,0,0,"34,116","1,924,569",0,"1,463",0,0,0,0,"233,806",0,"518,627","518,627",0.64311
020101,ALFRED ALMOND,1,0,539,"450,885",0.811,525,"462,909",0.780,0.778,5.319,0.049,0.900,"557,820",0,"87,720",0,"27,608","137,098","502,038","103,795",542,0,0,0,0,0,0,"263,273","172,325",0.32432
020601,ANDOVER,1,0,262,"457,849",0.808,243,"493,647",0.765,0.795,4.514,0.051,0.900,"338,955",0,"49,409",0,983,0,"305,060","45,353",250,0,0,0,0,"136,967",0,"59,517","59,517",0.44644
020702,GENESEE VALLEY,1,0,457,"479,853",0.798,442,"496,138",0.763,0.817,4.090,0.053,0.900,"636,595",0,"109,522",0,"3,237",0,"572,936","101,483",485,0,0,0,0,"140,000",0,"324,204","324,204",0.48629
020801,BELFAST,1,0,341,"364,896",0.849,308,"403,993",0.809,0.900,4.552,0.051,0.900,"497,381",0,"73,202",0,"5,558","34,036","447,643","70,884",316,0,0,0,0,0,0,"105,638","105,638",0.46929
021102,CANASERAGA,1,0,211,"553,943",0.765,198,"590,313",0.717,0.783,2.515,0.058,0.900,"457,442",0,"66,411",0,0,0,"411,698","59,770",196,0,0,0,0,0,0,"82,278","82,278",0.4356
021601,FRIENDSHIP,1,0,298,"311,643",0.872,311,"298,617",0.862,0.900,7.098,0.043,0.900,"362,757",0,"42,875",0,0,0,"326,481","38,588",287,0,0,0,0,0,0,"109,929","109,929",0.71469
022001,FILLMORE,1,0,623,"349,795",0.855,587,"371,248",0.826,0.900,5.451,0.048,0.900,"976,964",0,"204,851",0,"2,211","15,540","879,268","186,356",609,0,0,0,0,0,0,"587,390","303,581",0.47842
022101,WHITESVILLE,1,0,141,"556,847",0.764,125,"628,123",0.698,0.769,2.992,0.056,0.900,"394,534",0,"45,042",0,"1,668",0,"355,081","42,039",146,0,0,0,0,0,0,"37,407","37,407",0.4014
022302,CUBA-RUSHFORD,1,0,755,"639,471",0.727,730,"661,371",0.681,0.672,4.587,0.051,0.899,"881,530",0,"230,351",0,"12,593","52,367","792,495","218,407",732,0,0,0,0,0,0,"332,808","138,671",0.48211
022401,SCIO,1,0,289,"369,385",0.847,237,"450,431",0.786,0.900,4.276,0.052,0.900,"473,366",0,"82,603",0,"3,507","17,067","426,029","77,499",255,0,0,0,0,0,0,"101,006","101,006",0.52169
022601,WELLSVILLE,1,0,"1,168","411,635",0.828,"1,093","439,881",0.792,0.855,10.533,0.032,0.900,"1,199,875",0,"264,996",0,"85,370",0,"1,079,888","315,329","1,112",0,0,0,0,0,0,"487,062","487,062",0.48944
022902,BOLIVAR-RICHBG,1,0,694,"289,271",0.883,678,"296,097",0.863,0.900,6.861,0.044,0.900,"903,933",0,"293,088",0,"16,167",0,"813,540","278,330",676,0,0,0,0,0,0,"461,659","461,659",0.5403
030101,CHENANGO FORKS,1,0,"1,350","400,332",0.833,"1,307","413,503",0.805,0.696,22.929,0.000,0.879,"2,165,771",0,"286,996",0,"3,125",0,"1,903,713","255,016","1,319",0,0,0,0,0,0,"348,240","348,240",0.33932
030200,BINGHAMTON,1,0,"4,411","359,525",0.851,"5,015","316,224",0.853,0.835,395.674,0.000,0.900,"3,098,006",0,0,0,0,"37,530","2,788,205",0,"4,629",0,0,0,"630,429",0,0,"3,045,554","2,370,118",0.74572
030501,HARPURSVILLE,1,0,598,"485,160",0.796,607,"477,967",0.773,0.784,6.520,0.045,0.900,"1,399,058",0,"331,999",0,0,0,"1,259,152","298,799",603,0,0,0,0,0,0,"166,175","166,175",0.58441
030601,SUSQUEHANNA VA,1,0,"1,438","455,099",0.809,"1,442","453,836",0.785,0.722,22.754,0.000,0.900,"1,461,643",0,"448,272",0,"4,114","20,738","1,315,479","407,147","1,407",0,"256,320",0,"232,622",0,0,"403,977","285,159",0.43388
030701,CHENANGO VALLE,1,0,"1,706","441,964",0.815,"1,652","456,410",0.783,0.747,73.761,0.000,0.900,"1,367,959",0,"378,384",0,0,0,"1,231,163","340,546","1,642",0,0,0,0,0,0,"389,366","389,366",0.37172
031101,MAINE ENDWELL,1,0,"2,606","341,172",0.860,"2,551","348,528",0.837,0.824,49.847,0.000,0.900,"2,841,834",0,"496,002",0,"1,868","62,382","2,557,651","448,083","2,531",0,"561,216",0,"493,636",0,0,"691,968","691,968",0.35115
031301,DEPOSIT,1,0,490,"1,323,672",0.424,471,"1,377,069",0.325,0.467,3.896,0.053,0.642,"712,070",0,"207,730",0,0,"22,636","457,149","133,363",470,0,0,0,0,0,0,"84,000","84,000",0.54244
031401,WHITNEY POINT,1,0,"1,337","333,032",0.863,"1,347","330,559",0.846,0.900,9.637,0.035,0.900,"2,899,655",0,"530,387",0,"23,932","43,202","2,609,690","498,887","1,357",0,0,0,0,0,"467,815","1,239,597","1,060,991",0.48479
031501,UNION-ENDICOTT,1,0,"3,680","424,640",0.822,"3,850","405,889",0.809,0.726,128.146,0.000,0.900,"3,285,628",0,"497,998",0,0,0,"2,957,065","448,198","3,660",0,0,0,0,0,0,"860,447","673,962",0.53033
031502,JOHNSON   CITY,1,0,"2,226","444,911",0.814,"2,347","421,974",0.800,0.794,105.585,0.000,0.900,"2,900,805",0,"436,908",0,"4,741",0,"2,610,725","397,484","2,259",0,0,0,"238,765",0,0,"759,226","759,226",0.62656
031601,VESTAL,1,0,"3,527","638,683",0.728,"3,563","632,230",0.696,0.465,63.549,0.000,0.728,"4,153,605",0,"945,640",0,0,0,"3,023,824","688,426","3,403",0,"448,200",0,"118,800",0,0,"386,100","386,100",0.26583
031701,WINDSOR,1,0,"1,579","520,173",0.780,"1,522","539,654",0.742,0.775,13.350,0.024,0.900,"2,516,248",0,"300,612",0,"2,621",0,"2,264,623","272,910","1,558",0,0,0,0,0,0,"540,343","540,343",0.42557
040204,WEST VALLEY,1,0,243,"777,820",0.666,205,"922,001",0.551,0.539,3.227,0.055,0.735,"660,288",0,"74,925",0,"4,085",0,"485,312","58,072",206,0,0,0,0,0,0,"76,933","65,096",0.44596
040302,ALLEGANY-LIMES,1,0,"1,089","460,637",0.807,"1,026","488,922",0.767,0.725,8.716,0.038,0.900,"1,417,002",0,"382,507",0,"23,721",0,"1,275,302","365,605","1,041",0,0,0,0,0,0,"337,050","337,050",0.3918
040901,ELLICOTTVILLE,1,0,455,"2,000,088",0.124,440,"2,068,273",-0.020,0.254,4.912,0.050,0.370,"594,827",0,"7,595","259,738","8,907",0,"220,086","102,209",546,0,0,0,0,0,0,"50,614","50,614",0.32523
041101,FRANKLINVILLE,1,0,598,"464,129",0.805,570,"486,928",0.768,0.840,4.591,0.051,0.900,"1,223,129",0,"203,974",0,"4,679","18,123","1,100,816","187,788",586,0,0,0,0,0,"272,297","154,154","154,154",0.50172
041401,HINSDALE,1,0,385,"580,966",0.753,335,"667,678",0.678,0.768,6.653,0.045,0.900,"407,822",0,"72,528",0,0,0,"367,040","65,275",381,0,0,0,0,0,0,"98,300","98,300",0.53793
042302,CATTARAUGUS-LI,1,0,832,"536,517",0.773,815,"547,708",0.738,0.773,4.394,0.052,0.900,"2,082,307",0,"357,519",0,"10,049","7,475","1,874,076","330,811",803,0,0,0,0,0,"165,198","319,774","319,774",0.4498
042400,OLEAN,1,0,"1,822","354,778",0.854,"1,914","337,725",0.843,0.848,97.865,0.000,0.900,"1,174,237",0,"87,989",0,0,"36,850","1,056,813","79,190","1,852",0,0,0,0,0,0,"477,387","477,387",0.57991
042801,GOWANDA,1,0,"1,082","361,112",0.851,"1,107","352,957",0.835,0.900,10.940,0.031,0.900,"1,830,805",0,"236,071",0,"9,005",0,"1,647,725","220,568","1,053",0,0,0,0,0,0,"417,714","406,423",0.47103
042901,PORTVILLE,1,0,717,"320,741",0.868,681,"337,697",0.843,0.863,12.834,0.025,0.900,"956,113",0,"322,274",0,"28,156",0,"860,502","315,387",929,0,0,0,0,0,0,"169,472","169,472",0.37697
043001,RANDOLPH,1,0,835,"712,110",0.695,982,"605,511",0.709,0.674,3.129,0.056,0.900,"1,182,435",0,"351,438",0,0,"108,344","1,064,192","316,294",819,0,0,0,0,0,0,"340,730","340,730",0.39214
043200,SALAMANCA,1,0,"1,260","183,900",0.929,"1,332","173,959",0.924,0.900,18.851,0.006,0.900,"566,839",0,"487,067",0,"15,616","3,888","510,155","452,415","1,302",0,0,0,0,0,"180,000","380,628","380,628",0.66517
043501,YORKSHRE-PIONE,1,0,"2,162","521,124",0.780,"2,212","509,344",0.757,0.774,9.269,0.036,0.900,"3,608,541",0,"3,363",0,0,0,"3,247,687","3,027","2,125",0,0,0,0,0,"392,889","497,513","497,513",0.45478
050100,AUBURN,1,0,"3,787","480,408",0.798,"4,037","450,658",0.786,0.693,103.848,0.000,0.875,"3,070,410",0,0,0,0,0,"2,686,609",0,"3,851",0,0,0,0,0,"1,999,040","1,528,321","1,528,321",0.54904
050301,WEEDSPORT,1,0,715,"548,202",0.768,687,"570,545",0.726,0.687,15.844,0.016,0.883,"984,244",0,"154,975",0,"8,175",0,"869,087","144,061",682,0,0,0,0,"219,898",0,"126,432","126,432",0.27418
050401,CATO MERIDIAN,1,0,826,"484,040",0.796,837,"477,678",0.773,0.717,8.586,0.039,0.900,"1,577,140",0,"203,453",0,"11,266","32,946","1,419,426","193,247",832,0,0,0,0,0,0,"369,455","369,455",0.36905
050701,SOUTHERN CAYUG,1,0,659,"1,073,626",0.535,692,"1,022,427",0.501,0.428,3.972,0.053,0.593,"1,196,716",0,"322,156",0,"1,620","13,664","709,653","191,999",650,0,0,"180,000",0,0,0,"116,824","116,824",0.36533
051101,PORT BYRON,1,0,749,"479,880",0.798,789,"455,551",0.784,0.710,10.156,0.034,0.900,"1,088,066",0,"278,984",0,0,0,"979,259","251,086",745,0,0,0,0,0,"198,967","191,853","191,853",0.44399
051301,MORAVIA,1,0,898,"683,390",0.708,919,"667,774",0.678,0.666,6.792,0.044,0.885,"1,424,537",0,"289,319",0,"8,775",0,"1,260,715","263,813",887,0,0,0,0,"186,867",0,"315,948","315,948",0.42886
051901,UNION SPRINGS,1,0,751,"808,328",0.653,766,"792,499",0.616,0.475,9.059,0.037,0.690,"981,064",0,"103,997",0,"1,807","9,848","676,934","73,005",726,0,0,0,0,0,"300,000",0,0,0.32831
060201,SOUTHWESTERN,1,0,"1,350","527,657",0.777,"1,297","549,218",0.737,0.634,27.988,0.000,0.800,"1,269,873",0,"277,286",0,"16,487","24,397","1,015,898","235,018","1,297",0,0,0,0,0,0,"261,441","261,441",0.36164
