DBSFH1, 04/13/24,INC,REP,E(WM0265) 05 2024-25 CURRENT YR BUILDING AID RATIO,F(WE0081) 03 SEL BLDG AID RATIO 23-24 BL AID<7/1/00,G(NO0391) 05 SEL BLDG AID RATIO 24-25 BL AID<7/1/98,H(MA0015) 0A LEGEND FOR CURRENT YEAR BLDG AID,I(NO0396) 05 INCENTIVE DECIMAL FOR EXP>=7/1/98,"J(NO0397) 05 SEL AID RATIO, APPR >= 7/1/98",K(WE0096) 03 SEL BLDG AID RATIO FOR 99-00 BLDG AID,L(NO0400) 05 LOW INCOME BLDG AID RATIO >= 7/1/00,M(NO0402) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/00,N(NO0403) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/00,O(NO0406) 05 LOW INCOME BLDG AID RATIO >= 7/1/05,"P(MI0014) 00 2003 NEED/RESOURCE CAPACITY CODE, 1-4=HI NEED","Q(NO0407) 05 HNSBAR: HIGH NEED, FOR EXP >= 7/1/05",R(NO0408) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/05,S(NO0409) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/05,T(NO0580) 02 REORG BLDG INCENTVE RATIO(.25 OR .30),U(NO0696) 00 BLDG LEASE EXPENDITURES,V(NO0697) 00 BLDG AMORT-RETRO EXPENDITURES,W(NO0698) 00 BLDG AMORT-PROSP EXPENDITURES,X(NO0695) 00 BLDG AMORT-CAP OUTLAY EXPENDITURES,Y(NO0699) 00 BLDG 2023 DEFERD JULY EXPENDITURES,Z(NO0703) 00 BLDG 2022 DEFERD JULY EXPENDITURES,AA(NO0700) 00 BLDG NYC UNCONFIRMED EXPENDITURES,AB(NO0701) 00 BLDG REFUND/REFIN EXPENDITURES (A.R.),AC(NO0702) 00 BLDG REFUND/REFIN EXPENDITURES (100%),AD(NO0567) 00 BLDG EXPENDITURE FOR 3 CAP OUTLAY EXCEPTIONS,"AE(B10171) 00 BLDG EXPENDITURE FOR METAL DETECTORS,ETC.","AF(NO0386) 05 AID RATIO FOR METAL DETECTORS,ETC. AID",AG(NO0727) 00 BLDG EXP. FOR WATER TESTING,AH(NO0728) 05 AID RATIO FOR WATER TESTING
010100,ALBANY,1,1,0.730,0.748,0.748,22-23 BLD AR ,0.100,0.848,0.460,0.000,0.100,0.830,0.000,3,0.036,0.100,0.866,0.00,0,0,"17,958,662",0,0,0,0,0,0,0,"15,000",0.830,"30,000",0.766
010201,BERNE KNOX,1,0,0.531,0.792,0.792,93-94 BLD AR ,0.100,0.892,0.792,0.000,0.100,0.792,0.000,5,0.000,0.100,0.792,0.00,0,0,"2,573,308",0,0,0,0,0,0,0,0,0.631,0,0.692
010306,BETHLEHEM,1,0,0.612,0.634,0.634,NO DATA      ,0.100,0.734,0.579,0.000,0.100,0.712,0.000,6,0.000,0.100,0.712,0.00,0,0,"4,709,335",0,0,0,0,0,0,"100,000",0,0.712,0,0.612
010402,RAVENA COEYMAN,1,0,0.606,0.679,0.679,93-94 BLD AR ,0.100,0.779,0.679,0.000,0.100,0.706,0.000,5,0.000,0.100,0.706,0.00,0,0,"1,961,412",0,0,0,0,0,0,"100,000","35,000",0.706,0,0.606
010500,COHOES,1,0,0.745,0.809,0.809,06-07 BLD AR ,0.100,0.909,0.791,0.000,0.100,0.845,0.000,3,0.037,0.100,0.882,0.00,0,0,"1,653,196",0,0,0,0,0,0,"100,000",0,0.845,"2,500",0.782
010601,SOUTH COLONIE,1,0,0.557,0.571,0.571,NO DATA      ,0.100,0.671,0.532,0.000,0.100,0.657,0.000,5,0.000,0.100,0.657,0.00,0,0,"2,207,736",0,0,0,0,0,0,"100,000","24,000",0.657,"5,000",0.557
010615,MENANDS,1,0,0.513,0.557,0.557,NO DATA      ,0.100,0.657,0.000,0.000,0.100,0.613,0.000,6,0.000,0.100,0.613,0.00,0,0,"708,250",0,0,0,0,0,0,0,0,0.613,0,0.513
010623,NORTH COLONIE,1,1,0.548,0.566,0.566,22-23 BLD AR ,0.100,0.666,0.483,0.000,0.100,0.648,0.000,6,0.000,0.100,0.648,0.30,0,0,"8,904,502",0,"29,006","29,006",0,0,0,0,"35,000",0.648,"15,000",0.548
010701,GREEN ISLAND,1,0,0.592,0.790,0.790,07-08 BLD AR ,0.100,0.890,0.710,0.000,0.100,0.710,0.000,5,0.000,0.100,0.710,0.00,0,0,"85,474",0,0,0,0,0,0,0,0,0.692,0,0.610
010802,GUILDERLAND,1,0,0.589,0.648,0.648,93-94 BLD AR ,0.100,0.748,0.648,0.000,0.100,0.689,0.000,6,0.000,0.100,0.689,0.00,0,0,"6,776,564",0,"86,284",0,0,0,0,0,0,0.689,0,0.589
