DBSFI1, 04/13/24,INC,REP,E(NO0708) 00 BLDG LEASE AID,F(NO0709) 00 BLDG AMORT-RETRO AID,G(NO0710) 00 BLDG AMORT-PROSP AID,H(NO0707) 00 BLDG AMORT-CAP OUTLAY AID,I(NO0711) 00 BLDG 2023 DEFERD JULY AID,J(NO0715) 00 BLDG 2022 DEFERD JULY AID,K(NO0712) 00 BLDG NYC UNCONFIRMED  AID,L(NO0713) 00 BLDG REFUND/REFIN AID (A.R.),M(NO0568) 00 BLDG AID ON 3 CAP OUTLAY EXCEPTIONS,"N(NO0572) 00 BLDG AID ON METAL DETECTORS,ETC.",O(NO0569) 00 BLDG EXP FOR BLDG CONDITION SURVEYS,P(NO0570) 05 BLDG CONDITION SURVEY AID RATIO,Q(NO0571) 00 BLDG AID FOR BLDG CONDITION SURVEYS,R(NO0573) 00 BLDG AID DUE SPECIAL LEGISLATION,S(NO0468) 00 CHAPTER 97 POTENTIAL EXPENDITURES,T(NO0540) 00 CHAPTER 97 POTENTIAL AID,U(A10117) 00 -BLDG AID 23-24 DEFERRED TO 2024-25 (NYC),V(A20117) 00 +BLDG AID 22-23 DEFERRED TO 2023-24 (NYC),W(NO0719) 00 REORG INCENTIVE NET EXPENDITURES,X(NO0720) 00 REBL AMORT (PROSP)  EXPENDITURES,Y(NO0721) 00 REBL DEFERRED JULY  EXPENDITURES,Z(NO0723) 00 REORG INCENTIVE NET AID,AA(NO0724) 00 REBL AMORT (PROSP)  AID,AB(NO0725) 00 REBL DEFERRED JULY  AID,AC(FA0153) 00 24-25 BLDG AID DEFERRED TO 7/24,AD(FA0154) 00 23-24 BLDG AID DEFERRED TO 7/23,AE(CL0014) 00 2023-24 PAYABLE UPK AID
010100,ALBANY,1,1,0,0,"15,379,569",0,0,0,0,0,0,"12,450",0,0.766,0,0,"979,436","848,192",0,0,0,0,0,0,0,0,0,0,"5,511,278"
010201,BERNE KNOX,1,0,0,0,"2,038,060",0,0,0,0,0,0,0,0,0.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"193,070"
010306,BETHLEHEM,1,0,0,0,"3,353,047",0,0,0,0,0,"71,200",0,0,0.612,0,0,"2,915,734","2,076,003",0,0,0,0,0,0,0,0,0,0,0
010402,RAVENA COEYMAN,1,0,0,0,"1,384,757",0,0,0,0,0,"70,600","24,710",0,0.606,0,0,"249,414","176,086",0,0,0,0,0,0,0,0,0,0,"215,257"
010500,COHOES,1,0,0,0,"1,458,119",0,0,0,0,0,"88,200",0,0,0.782,0,0,"172,740","152,357",0,0,0,0,0,0,0,0,0,0,"929,437"
010601,SOUTH COLONIE,1,0,0,0,"1,450,483",0,0,0,0,0,"65,700","15,768",0,0.557,0,0,"323,102","212,278",0,0,0,0,0,0,0,0,0,"7,575","386,878"
010615,MENANDS,1,0,0,0,"434,157",0,0,0,0,0,0,0,0,0.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010623,NORTH COLONIE,1,1,0,0,"5,770,118",0,"18,796","18,796",0,0,0,"22,680",0,0.548,0,0,"447,090","289,714",0,0,0,"6,863,828",0,0,"1,334,328",0,"37,592",0,"70,203"
010701,GREEN ISLAND,1,0,0,0,"60,687",0,0,0,0,0,0,0,0,0.610,0,0,"8,265","5,868",0,0,0,0,0,0,0,0,0,0,"127,520"
010802,GUILDERLAND,1,0,0,0,"4,686,749",0,"59,450",0,0,0,0,0,0,0.589,0,0,"2,136,988","1,472,385",0,0,0,0,0,0,0,0,"59,450",0,0
