DBSFJ1, 04/13/24,INC,REP,E(NO0244) 00 23-24 BOCES APPRVD ADMIN EXPENDITURE,F(NO0252) 00 23-24 BOCES APPRVD SERVICE EXPENDITURE,G(NO0270) 00 24-25 BOCES CAPITAL EXPENDITURE,H(NO0268) 00 24-25 BOCES RENT EXPENDITURE,I(WM0289) 05 MILLAGE RATIO FOR 24-25 BOCES AID,J(WM0265) 05 AID RATIO FOR 24-25 BOCES FACIL AID,K(NO0248) 05 AID RATIO FOR 24-25 BOCES OPER AID,L(NO0267) 00 24-25 BOCES ADMIN & SHARED SERVICES AID,M(NO0271) 00 BOCES CAPITAL AID FOR 24-25,N(NO0269) 00 BOCES RENT AID FOR 24-25,O(NO0274) 00 24-25 BOCES AID DUE SAVE-HARMLESS,P(WM0285) 00 2023-24 LOCAL LEVY FOR BOCES TAX RATE,Q(WM0286) 00 2021 AV FOR BOCES TAX RATE,"R(WM0287) 05 TAX RATE, 2024-25 BOCES MILLAGE DEFINITION",S(NO0068) 05 CAREER ED AID RATIO FOR 24-25 AID,"T(NO0065) 00 23-24 EST G.10-12 CAREER ED ADA, TRADE","U(NO0066) 00 23-24 EST G.10-12  CAREER ADA, BUSINESS @ .16","V(NO0057) 00 EST COMP ADMIN EXPENDITURE, 24-25 AID",W(NO0058) 00 SEL COMPUTER EXPENDITURE FOR 24-25 AID,X(NO0059) 05 COMP ADMN AID RATIO FOR 24-25 AID,Y(NO0915) 05 CWR FOR ADJUSTMENT (ACADEMIC IMPROVEMENT),Z(NO0914) 02 ADJUSTED CEILING (ACADEMIC IMPROVEMENT),AA(NO0282) 05 SHARED SERV AID RATIO NON-COMPONENTS,AB(E10113) 00 23-24 SHARED SERV EXP NON-CMPNT,AC(NO0283) 00 FORMULA SHARED SERV AID NON-CMPNT,AD(NO0283) 00 FORMULA SHARED SERV AID NON-CMPNT
010100,ALBANY,1,1,0,0,0,0,0.651,0.730,0.000,0,0,0,0,"126,151,302","5,497,950,781",0.023,0.664,"1,004",16,"654,092","654,092",0.710,0.570,"1,754.38",0.730,"390,688","285,203","333,583"
010201,BERNE KNOX,1,0,"63,005","1,695,825",0,"29,233",0.510,0.531,0.531,"933,939",0,"15,522",0,"11,068,886","681,147,262",0.016,0.000,0,0,0,0,0.000,0.892,"1,121.07",0.000,0,0,0
010306,BETHLEHEM,1,0,"393,707","2,192,977",0,"179,999",0.610,0.612,0.612,"1,583,051",0,"110,159",0,"70,824,965","3,460,420,357",0.021,0.000,0,0,0,0,0.000,0.984,"1,016.26",0.000,0,0,0
010402,RAVENA COEYMAN,1,0,"159,783","1,788,588",0,"73,894",0.573,0.606,0.606,"1,180,712",0,"44,779",0,"27,010,669","1,444,179,677",0.019,0.000,0,0,0,0,0.000,0.769,"1,300.39",0.000,0,0,0
010500,COHOES,1,0,"171,546","2,176,031",0,"79,579",0.563,0.745,0.745,"1,748,945",0,"59,286",0,"18,447,493","1,006,999,121",0.018,0.000,0,0,0,0,0.000,0.521,"1,919.38",0.000,0,0,0
010601,SOUTH COLONIE,1,0,"432,027","1,900,502",0,"203,819",0.543,0.557,0.557,"1,299,219",0,"113,527",0,"78,072,027","4,468,526,448",0.018,0.000,0,0,0,0,0.000,0.847,"1,180.63",0.000,0,0,0
010615,MENANDS,1,0,"39,745","476,662",0,"17,594",0.554,0.513,0.554,"286,090",0,"9,025",0,"7,631,535","425,734,707",0.018,0.000,0,0,0,0,0.000,1.000,"1,000.00",0.000,0,0,0
010623,NORTH COLONIE,1,1,"541,014","2,074,994",0,"255,247",0.510,0.548,0.548,"1,433,573",0,"139,875",0,"93,225,506","5,721,925,085",0.016,0.000,0,0,0,0,0.000,0.999,"1,001.00",0.000,0,0,0
010701,GREEN ISLAND,1,0,"25,665","575,003",0,"10,556",0.575,0.592,0.592,"355,596",0,"6,249",0,"4,010,000","212,909,560",0.019,0.000,0,0,0,0,0.000,0.790,"1,265.82",0.000,0,0,0
010802,GUILDERLAND,1,0,"454,039","3,137,492",0,"211,939",0.573,0.589,0.589,"2,115,412",0,"124,832",0,"80,385,968","4,307,124,316",0.019,0.000,0,0,0,0,0.000,0.966,"1,035.19",0.000,0,0,0
011003,VOORHEESVILLE,1,0,"114,246","1,517,325",0,"53,323",0.579,0.599,0.599,"977,311",0,"31,940",0,"20,242,009","1,063,461,732",0.019,0.000,0,0,0,0,0.000,0.990,"1,010.10",0.000,0,0,0
011200,WATERVLIET,1,0,"123,068","1,280,729",0,"59,819",0.471,0.823,0.823,"1,155,325",0,"49,231",0,"7,938,484","525,920,327",0.015,0.000,0,0,0,0,0.000,0.388,"2,577.31",0.000,0,0,0
020101,ALFRED ALMOND,1,0,"158,507","2,039,867",0,"14,906",0.632,0.779,0.779,"1,712,533",0,"11,611",0,"5,272,664","243,027,538",0.022,0.000,0,0,0,0,0.000,0.482,"2,074.68",0.000,0,0,0
020601,ANDOVER,1,0,"29,737","1,084,170","39,000","24,170",0.640,0.776,0.776,"864,392","30,264","18,755",0,"2,657,516","119,956,440",0.022,0.000,0,0,0,0,0.000,0.468,"2,136.75",0.000,0,0,0
020702,GENESEE VALLEY,1,0,"50,918","1,717,501","69,800","43,038",0.433,0.765,0.765,"1,352,840","53,397","32,924",0,"3,093,180","219,293,270",0.014,0.000,0,0,0,0,0.000,0.450,"2,222.22",0.000,0,0,0
020801,BELFAST,1,0,"35,893","1,385,899","44,800","27,623",0.464,0.821,0.821,"1,167,291","36,781","22,678",0,"1,847,981","124,429,866",0.015,0.000,0,0,0,0,0.000,0.331,"3,021.14",0.000,0,0,0
021102,CANASERAGA,1,0,"59,892","755,145",0,"6,855",0.582,0.729,0.729,"594,162",0,"4,997",0,"2,229,785","116,882,022",0.019,0.000,0,0,0,0,0.000,0.478,"2,092.05",0.000,0,0,0
021601,FRIENDSHIP,1,0,"33,076","1,475,829","36,800","22,690",0.588,0.847,0.847,"1,278,042","31,170","19,218",0,"1,806,300","92,869,897",0.019,0.000,0,0,0,0,0.000,0.284,"3,521.12",0.000,0,0,0
022001,FILLMORE,1,0,"67,821","1,614,882","73,600","45,381",0.334,0.829,0.829,"1,394,961","61,014","37,620",0,"2,621,355","217,922,768",0.012,0.000,0,0,0,0,0.000,0.341,"2,932.55",0.000,0,0,0
022101,WHITESVILLE,1,0,"16,798","810,560","28,600","17,634",0.385,0.727,0.727,"601,489","20,792","12,819",0,"1,022,342","78,515,455",0.013,0.000,0,0,0,0,0.000,0.489,"2,044.98",0.000,0,0,0
022302,CUBA-RUSHFORD,1,0,"79,819","2,745,238","102,200","63,015",0.417,0.686,0.686,"1,937,989","70,109","43,228",0,"6,593,698","482,801,078",0.014,0.000,0,0,0,0,0.000,0.568,"1,760.56",0.000,0,0,0
022401,SCIO,1,0,"31,615","1,472,161","48,800","30,089",0.621,0.819,0.819,"1,231,593","39,967","24,642",0,"2,254,930","106,752,301",0.021,0.000,0,0,0,0,0.000,0.364,"2,747.25",0.000,0,0,0
022601,WELLSVILLE,1,0,"118,426","2,931,287","139,200","85,829",0.524,0.799,0.799,"2,436,720","111,221","68,577",0,"8,057,632","480,790,297",0.017,0.000,0,0,0,0,0.000,0.419,"2,386.63",0.000,0,0,0
022902,BOLIVAR-RICHBG,1,0,"73,663","2,501,557","87,800","54,136",0.408,0.859,0.859,"2,212,114","75,420","46,502",0,"2,714,763","200,754,386",0.014,0.000,0,0,0,0,0.000,0.300,"3,333.33",0.000,0,0,0
030101,CHENANGO FORKS,1,0,"67,675","2,893,333","39,244","60,410",0.671,0.804,0.804,"2,380,651","31,552","48,569",0,"13,119,680","540,448,575",0.024,0.000,0,0,0,0,0.000,0.548,"1,824.81",0.000,0,0,0
030200,BINGHAMTON,1,0,"219,546","12,022,272","136,408","210,546",0.723,0.824,0.824,"10,087,258","112,400","173,489",0,"45,704,257","1,585,867,677",0.029,0.000,0,0,0,0,0.000,0.435,"2,298.85",0.000,0,0,0
030501,HARPURSVILLE,1,0,"31,560","2,146,137","19,005","29,317",0.507,0.762,0.762,"1,659,405","14,482","22,339",0,"4,700,324","290,126,242",0.016,0.000,0,0,0,0,0.000,0.477,"2,096.43",0.000,0,0,0
