DBSFK1, 04/13/24,INC,REP,E(WM0182) 05 COMBINED WEALTH RATIO (CWR),F(K10134) 00 2023-24 CHARTER SCH ENR W/O BOE APPROVED,G(K20134) 00 2022-23 CHARTER SCH ENR W/O BOE APPROVED,H(K30134) 00 2021-22 CHARTER SCH ENR W/O BOE APPROVED,I(K20135) 00 2020-21 CHARTER SCH ENR W/O BOE APPROVED,J(NO0881) 00 INCREASE FROM: 22-23 TO 23-24,K(NO0886) 00 INCREASE FROM: 21-22 TO 22-23,L(NO0891) 00 INCREASE FROM: 20-21 TO 21-22,M(NO0882) 00 2023-24 TOTAL RES PUBLIC ENR,N(NO0887) 00 2022-23 TOTAL RES PUBLIC ENR,O(NO0892) 00 2021-22 TOTAL RES PUBLIC ENR,P(E10008) 00 23-24 PYMTS TO CH SCH (EST),Q(E20008) 00 22-23 PYMTS TO CH SCH (PRELIM),R(E30008) 00 21-22 PYMTS TO CH SCH (ACTUAL),S(E10001) 00 2023-24 TGFE (EST),T(E20001) 00 2022-23 TGFE (PRELIM),U(E30001) 00 2021-22 TGFE (ACTUAL),V(E10007) 00 23-24 CH SCH TOT BASIC TUIT/PUPIL,W(NO0885) 00 AID1 @ 23-24 TUITION/P*.8*INCR,X(NO0890) 00 AID2 @ 23-24 TUITION/P*.6*INCR,Y(NO0895) 00 AID3 @ 23-24 TUITION/P*.4*INCR,Z(FA0013) 00 24-25 TRANSTN AID FOR CHARTER SCH PYMTS
010100,ALBANY,1,1,0.570,"2,438","2,315","2,220","2,169",123,95,51,"10,667","10,426","10,427","41,347,894","38,787,930","36,170,812","307,268,458","274,216,884","255,604,292","17,297","1,702,025","985,929","352,859","3,040,813"
010201,BERNE KNOX,1,0,0.892,0,0,0,0,0,0,0,711,680,696,0,0,0,"25,641,075","25,409,880","23,121,997","16,417",0,0,0,0
010306,BETHLEHEM,1,0,0.984,5,5,3,5,0,2,0,"4,136","4,112","4,185","120,000","54,663","33,808","107,077,233","112,107,287","96,524,576","13,877",0,0,0,0
010402,RAVENA COEYMAN,1,0,0.769,11,9,13,6,2,0,7,"1,735","1,762","1,764","150,000","136,020","147,606","53,548,486","54,023,324","45,684,986","14,284",0,0,0,0
010500,COHOES,1,0,0.521,91,97,88,74,0,9,14,"2,028","1,962","1,923","1,800,000","1,326,279","1,307,949","52,340,637","45,532,540","42,667,965","14,664",0,"79,186","82,118","161,304"
010601,SOUTH COLONIE,1,0,0.847,38,48,45,39,0,3,6,"4,884","4,820","4,737","610,000","614,825","566,021","122,194,702","111,879,647","101,964,565","14,280",0,0,0,0
010615,MENANDS,1,0,1.184,15,22,22,22,0,0,0,396,425,456,"245,550","262,572","324,798","11,555,886","10,322,574","9,792,962","16,935",0,0,0,0
010623,NORTH COLONIE,1,1,0.999,40,36,38,32,4,0,6,"5,978","5,883","5,864","455,000","507,203","412,498","146,752,097","126,997,383","117,141,318","13,235",0,0,0,0
010701,GREEN ISLAND,1,0,0.790,13,18,17,17,0,1,0,255,270,284,"271,400","204,521","212,092","8,143,712","7,626,576","7,439,650","15,554",0,"9,332",0,"9,332"
010802,GUILDERLAND,1,0,0.966,21,22,21,16,0,1,5,"4,859","4,872","4,860","286,093","362,553","286,361","119,772,194","111,662,578","105,583,181","13,858",0,0,0,0
011003,VOORHEESVILLE,1,0,0.990,1,1,2,0,0,0,2,"1,185","1,224","1,195","15,300","3,606","28,493","30,078,491","27,571,436","24,132,588","14,509",0,0,0,0
011200,WATERVLIET,1,0,0.388,96,94,93,87,2,1,6,"1,535","1,481","1,450","1,097,000","1,147,643","936,179","37,759,000","33,052,512","30,117,812","11,508","18,413","6,905","27,619","52,937"
020101,ALFRED ALMOND,1,0,0.482,0,0,0,0,0,0,0,485,522,542,0,0,0,"16,513,631","14,308,212","15,477,812","13,454",0,0,0,0
020601,ANDOVER,1,0,0.468,0,0,0,0,0,0,0,227,240,253,0,0,0,"10,175,000","9,405,143","7,791,534","13,869",0,0,0,0
020702,GENESEE VALLEY,1,0,0.450,0,0,0,0,0,0,0,420,437,431,0,0,0,"18,882,018","17,766,075","17,021,008","13,725",0,0,0,0
020801,BELFAST,1,0,0.331,0,0,0,0,0,0,0,303,304,305,0,0,0,"11,779,463","11,063,830","9,978,590","14,257",0,0,0,0
021102,CANASERAGA,1,0,0.478,0,0,0,0,0,0,0,200,193,198,0,0,0,"8,320,622","8,094,654","6,527,497","13,884",0,0,0,0
021601,FRIENDSHIP,1,0,0.284,0,0,0,0,0,0,0,256,275,276,0,0,0,"10,940,738","9,827,770","10,053,800","14,796",0,0,0,0
022001,FILLMORE,1,0,0.341,0,0,0,0,0,0,0,533,566,571,0,0,0,"18,325,956","19,883,949","15,529,234","10,869",0,0,0,0
022101,WHITESVILLE,1,0,0.489,0,0,0,0,0,0,0,112,125,130,0,0,0,"6,770,000","7,189,097","6,200,941","11,569",0,0,0,0
022302,CUBA-RUSHFORD,1,0,0.568,0,0,0,0,0,0,0,707,726,762,0,0,0,"25,554,195","22,726,455","21,743,820","14,136",0,0,0,0
022401,SCIO,1,0,0.364,0,0,0,0,0,0,0,237,233,239,0,0,0,"10,656,221","10,103,658","9,865,786","12,218",0,0,0,0
022601,WELLSVILLE,1,0,0.419,0,0,0,0,0,0,0,"1,068","1,059","1,065",0,0,0,"34,486,711","31,833,477","32,724,406","14,423",0,0,0,0
022902,BOLIVAR-RICHBG,1,0,0.300,0,0,0,0,0,0,0,642,669,659,0,0,0,"19,178,884","18,798,515","20,825,934","13,492",0,0,0,0
030101,CHENANGO FORKS,1,0,0.548,0,0,0,0,0,0,0,"1,278","1,300","1,301",0,0,0,"37,506,526","32,910,424","33,825,862","12,269",0,0,0,0
030200,BINGHAMTON,1,0,0.435,0,0,0,1,0,0,0,"4,662","4,728","4,841",0,0,0,"143,322,872","122,713,441","121,911,983","12,716",0,0,0,0
030501,HARPURSVILLE,1,0,0.477,0,0,0,0,0,0,0,585,602,623,0,0,0,"23,018,438","24,990,521","19,894,550","9,923",0,0,0,0
030601,SUSQUEHANNA VA,1,0,0.527,0,0,0,0,0,0,0,"1,410","1,415","1,383",0,0,0,"43,286,992","44,694,672","38,845,682","14,849",0,0,0,0
030701,CHENANGO VALLE,1,0,0.507,0,0,0,0,0,0,0,"1,642","1,640","1,639",0,0,0,"45,950,583","42,564,638","41,653,626","12,523",0,0,0,0
031101,MAINE ENDWELL,1,0,0.444,0,0,0,0,0,0,0,"2,525","2,504","2,515",0,0,0,"68,620,535","61,182,040","54,496,377","12,307",0,0,0,0
031301,DEPOSIT,1,0,0.854,0,0,0,0,0,0,0,462,463,470,0,0,0,"18,638,677","16,564,906","15,757,216","15,029",0,0,0,0
031401,WHITNEY POINT,1,0,0.357,0,0,0,0,0,0,0,"1,339","1,344","1,353",0,0,0,"41,367,728","36,754,250","36,025,075","15,007",0,0,0,0
031501,UNION-ENDICOTT,1,0,0.524,0,0,0,0,0,0,0,"3,607","3,662","3,522",0,0,"12,532","99,425,925","88,116,629","85,151,647","13,137",0,0,0,0
031502,JOHNSON   CITY,1,0,0.469,0,0,0,0,0,0,0,"2,252","2,273","2,265",0,0,0,"68,572,652","60,222,869","58,629,033","14,170",0,0,0,0
031601,VESTAL,1,0,0.861,0,0,0,0,0,0,0,"3,480","3,435","3,356",0,0,0,"90,122,447","89,840,601","79,077,532","14,194",0,0,0,0
031701,WINDSOR,1,0,0.484,0,0,0,0,0,0,0,"1,460","1,514","1,521",0,0,0,"50,305,771","44,700,402","44,300,001","13,211",0,0,0,0
040204,WEST VALLEY,1,0,0.721,0,0,0,0,0,0,0,183,200,183,0,0,0,"9,491,425","7,707,604","7,922,355","15,168",0,0,0,0
040302,ALLEGANY-LIMES,1,0,0.525,0,0,0,0,0,0,0,977,"1,014","1,063",0,0,0,"28,119,785","23,987,337","23,022,571","11,601",0,0,0,0
040901,ELLICOTTVILLE,1,0,1.401,0,0,0,0,0,0,0,414,434,446,0,0,0,"14,941,612","14,344,366","13,267,582","13,525",0,0,0,0
041101,FRANKLINVILLE,1,0,0.431,0,0,0,0,0,0,0,558,545,540,0,0,0,"21,820,556","18,703,184","17,885,767","12,903",0,0,0,0
041401,HINSDALE,1,0,0.490,0,0,0,0,0,0,0,322,333,339,0,0,0,"11,819,394","10,848,429","10,386,813","12,139",0,0,0,0
042302,CATTARAUGUS-LI,1,0,0.486,0,0,0,0,0,0,0,800,810,807,0,0,0,"29,403,775","25,877,421","25,876,367","13,840",0,0,0,0
042400,OLEAN,1,0,0.425,0,0,0,0,0,0,0,"1,828","1,835","1,848",0,0,0,"51,501,933","45,340,725","42,700,522","13,076",0,0,0,0
042801,GOWANDA,1,0,0.344,3,2,1,0,1,1,1,"1,063","1,085","1,053","60,000","34,406","12,276","35,946,282","30,217,044","31,460,506","12,664",0,0,0,0
042901,PORTVILLE,1,0,0.413,0,0,0,0,0,0,0,683,672,688,0,0,0,"25,045,982","20,325,787","19,003,291","12,327",0,0,0,0
043001,RANDOLPH,1,0,0.566,0,0,0,0,0,0,0,771,808,801,0,0,0,"19,187,425","19,648,462","17,104,090","13,591",0,0,0,0
043200,SALAMANCA,1,0,0.197,0,0,0,0,0,0,0,"1,314","1,309","1,293",0,0,0,"51,211,708","46,206,362","46,825,548","3,150",0,0,0,0
043501,YORKSHRE-PIONE,1,0,0.485,0,0,0,0,0,0,0,"2,114","2,121","2,164",0,0,0,"65,708,041","61,047,173","51,953,944","11,715",0,0,0,0
050100,AUBURN,1,0,0.551,0,0,0,0,0,0,0,"3,879","3,888","3,935",0,0,0,"100,268,807","86,503,017","79,331,600","12,014",0,0,0,0
